player,player_id,attempts_rushing,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,designed_yards,elu_yco,elusive_rating,explosive,first_downs_rushing,fumbles,longest,run_plays,scramble_yards,total_touches,touchdowns_rushing,yards_rushing,yards_after_contact,ypa_rushing,yprr
Max Brown,157756,23,6,1,14.9,20,51,44,163.0,5,5,2,20,75,83,9,0,134,72,5.8,
Gabarri Johnson,175905,23,11,3,35.8,48,74,47,104.4,7,7,2,23,47,60,15,1,134,80,5.8,
Dylan Rizk,174360,22,3,0,0.0,0,55,14,0.0,3,7,3,33,120,77,14,0,132,31,6.0,0.0
Forrest Brock,173260,22,4,0,0.0,0,50,32,35.5,3,2,4,12,72,14,19,1,64,59,2.9,
Jeff Sims,122496,22,7,0,0.0,0,86,61,166.8,3,9,0,12,66,29,16,1,115,65,5.2,
Brad Jackson,184354,22,4,3,31.7,52,144,74,61.5,9,12,0,18,44,20,19,4,164,87,7.5,
Arch Manning,173162,21,3,2,56.2,82,88,83,57.4,4,8,4,67,126,58,17,4,146,149,7.0,
Lucian Anderson III,173364,21,4,1,31.1,19,51,50,41.6,4,5,0,19,40,10,19,2,61,75,2.9,
Maalik Murphy,157302,20,1,0,0.0,0,-30,12,3.7,0,2,2,8,340,10,18,2,-20,21,-1.0,
Mike Wright,124366,20,3,3,67.1,55,38,7,3.6,6,7,2,20,70,44,14,1,82,23,4.1,
Conner Weigman,158683,20,5,0,0.0,0,6,4,0.0,4,6,0,18,141,135,4,0,141,68,7.1,
Kirk Francis,173296,20,1,0,0.0,0,2,1,0.0,3,4,4,15,174,76,3,0,78,42,3.9,0.0
Alan Bowman,77679,20,0,0,0.0,0,25,13,0.0,1,3,1,12,259,4,20,0,29,14,1.5,14.0
Tony Muskett,142933,20,6,2,22.6,33,85,47,95.9,7,12,1,18,58,61,14,4,146,56,7.3,
MJ Morris,157404,19,3,0,0.0,0,45,32,32.7,1,3,1,14,50,21,14,1,66,45,3.5,
Tyriq Starks,156514,19,7,0,0.0,0,46,37,185.0,3,5,1,12,95,61,10,0,107,77,5.6,
Ahmad Haston,173396,19,2,3,52.0,89,152,63,49.2,4,6,0,38,65,19,16,1,171,67,9.0,
Jayden Maiava,158135,19,6,0,0.0,0,65,21,23.2,3,10,3,13,131,19,17,4,84,53,4.4,-3.0
Micah Alejado,184162,19,2,1,24.4,19,39,17,34.0,1,2,0,19,29,39,10,0,78,26,4.1,
Graham Mertz,97994,18,1,0,0.0,0,3,1,0.0,3,9,3,16,82,68,9,1,71,29,3.9,
Ruel Tomlinson,188241,18,1,0,0.0,0,28,13,0.0,2,3,1,13,46,26,7,0,54,41,3.0,0.0
Julian Dugger,183269,18,5,1,14.8,17,85,39,52.0,3,9,2,20,35,30,15,1,115,78,6.4,0.0
AJ Hairston,184157,18,2,0,0.0,0,5,8,0.0,1,5,3,10,76,38,9,1,43,35,2.4,
Nate Yarnell,144037,18,4,0,0.0,0,2,6,50.0,3,6,6,11,76,85,4,0,87,58,4.8,
Will Rogers,124184,18,4,0,0.0,0,-17,0,0.0,2,2,8,20,210,72,8,0,55,60,3.1,0.0
Dequan Finn,97804,17,2,2,60.3,73,114,14,6.2,4,5,3,39,78,7,15,2,121,29,7.1,0.0
DeShawn Purdie,184271,17,7,0,0.0,0,-11,1,4.0,5,6,8,19,179,92,5,1,81,70,4.8,
Goose Crowder,144781,16,3,0,0.0,0,1,11,44.0,4,5,0,12,72,66,5,1,67,37,4.2,
Hunter Herring,147138,16,4,3,74.1,86,116,115,179.7,3,11,0,44,21,0,16,2,116,115,7.3,
Ryan Burger,157544,16,4,0,0.0,0,16,12,16.7,1,2,2,57,44,67,12,1,83,61,5.2,
Jack Turner,162969,16,1,0,0.0,0,-2,14,7.1,1,3,4,10,57,10,14,0,8,17,0.5,
Blake Baker,170448,16,1,0,0.0,0,12,10,6.9,1,2,0,21,49,25,12,1,37,19,2.3,
JC Evans,184302,15,0,1,33.8,27,80,25,0.0,1,4,0,27,21,0,15,1,80,25,5.3,0.0
Grant Wilson,143041,15,4,0,0.0,0,20,6,12.2,2,6,4,36,70,86,7,1,106,64,7.1,
JD Sherrod,172365,15,1,1,46.9,30,64,48,24.5,1,2,1,30,27,0,14,0,64,49,4.3,
Timmy McClain,144488,15,5,1,29.0,18,51,11,18.2,2,3,1,18,34,11,11,1,62,27,4.1,
Dexter Williams II,129457,15,4,1,42.9,18,20,31,64.6,2,4,2,20,31,22,12,1,42,71,2.8,0.0
Josh Johnson,186429,15,4,2,59.4,57,62,53,131.4,3,4,2,42,30,34,11,0,96,59,6.4,
Keldric Luster,175287,15,3,0,0.0,0,17,21,0.0,3,4,1,17,31,33,13,0,50,49,3.3,
Hauss Hejny,183824,15,3,1,32.3,21,57,22,22.4,1,3,0,21,17,8,14,0,65,32,4.3,
Will Hammond,184898,15,1,0,0.0,0,31,17,21.0,2,7,2,12,79,33,9,2,64,21,4.3,0.0
Braedyn Locke,157141,15,1,0,0.0,0,25,17,17.0,2,7,6,11,310,30,10,2,55,26,3.7,
Grayson McCall,98002,15,5,0,0.0,0,19,6,24.0,3,3,3,12,57,51,5,0,70,55,4.7,
CJ Harris,130594,14,2,0,0.0,0,48,12,12.0,3,5,0,13,31,26,10,0,74,29,5.3,
Gerry Bohanon,77636,14,2,0,0.0,0,18,29,29.6,1,2,0,11,26,0,14,0,18,29,1.3,
Drew Mestemaker,190616,14,4,1,66.7,70,71,69,171.1,2,4,2,70,51,34,11,1,105,101,7.5,0.0
Conner Harrell,156352,14,3,1,22.2,16,45,17,28.1,4,5,3,16,69,27,11,1,72,24,5.1,
Maealiuaki Smith,183921,14,1,0,0.0,0,36,20,10.2,1,3,4,13,45,0,14,1,36,20,2.6,
Jadyn Glasser,184670,14,0,0,0.0,0,8,11,0.0,0,3,3,6,117,10,11,1,18,17,1.3,
Gunner Stockton,157072,14,1,0,0.0,0,40,22,22.0,0,3,3,9,65,11,10,0,51,28,3.6,
Davis Warren,73940,13,1,0,0.0,0,-8,0,0.0,2,2,2,13,232,44,5,0,36,27,2.8,0.0
Joe Labas,144847,13,1,0,0.0,0,23,8,50.0,2,5,1,13,133,51,4,0,74,32,5.7,0.0
Noah Kim,129623,13,0,0,0.0,0,16,11,0.0,0,2,3,7,55,6,12,0,22,12,1.7,
Javance Tupou'ata-Johnson,175766,13,2,0,0.0,0,28,13,0.0,2,2,0,13,47,37,6,0,65,34,5.0,
Kasen Weisman,171910,13,0,2,33.7,34,46,6,0.0,3,6,1,17,64,55,5,1,101,25,7.8,
Tyler Douglas,173265,13,2,0,0.0,0,30,31,36.7,0,1,1,9,20,0,13,0,30,31,2.3,0.0
Tate Rodemaker,122414,13,1,0,0.0,0,1,8,11.1,1,4,4,11,144,19,9,0,20,13,1.5,21.0
Henry Belin IV,162693,13,1,0,0.0,0,25,29,24.0,1,2,0,11,33,11,11,0,36,41,2.8,0.0
Preston Stone,124716,12,4,0,0.0,0,4,8,25.0,2,3,1,12,47,40,8,0,44,27,3.7,
Miller Moss,70727,12,1,0,0.0,0,35,19,15.7,0,4,3,9,215,1,11,2,36,25,3.0,0.0
Amari Jones,156543,12,3,0,0.0,0,-8,13,48.1,1,1,3,18,33,33,9,0,25,21,2.1,
Cardell Williams,156190,12,3,2,68.5,50,66,32,96.0,2,5,0,28,28,7,10,2,73,32,6.1,
Aaron Philo,183222,12,2,0,0.0,0,22,19,0.0,3,6,0,18,38,54,7,1,76,31,6.3,
Israel Carter,175310,11,5,0,0.0,0,37,27,220.4,2,2,1,14,42,20,7,0,57,37,5.2,
Malachi Singleton,172426,11,6,0,0.0,0,49,50,185.2,4,5,3,62,36,67,9,3,116,97,10.5,
Ben Gulbranson,131734,11,1,0,0.0,0,9,13,0.0,0,8,1,4,110,6,9,1,15,29,1.4,0.0
Christopher Vizzina,170032,11,2,2,65.4,53,70,56,138.3,3,5,2,35,42,11,9,1,81,63,7.4,
Chayden Peery,143925,11,2,0,0.0,0,25,14,14.0,0,3,0,7,21,6,10,0,31,14,2.8,
Tyler Van Dyke,122225,11,1,0,0.0,0,37,8,0.0,0,2,1,9,78,7,9,1,44,17,4.0,
Chubba Purdy,122412,11,2,2,50.7,37,59,26,21.7,3,4,0,19,27,14,12,0,73,49,6.6,1.25
Nate Johnson,158489,11,3,1,49.1,56,114,58,175.8,4,3,0,56,20,0,12,1,114,58,10.4,0.5
Brandon Rose,158503,11,1,1,41.5,27,48,19,23.5,1,3,0,27,41,17,9,0,65,20,5.9,
Drew Pyne,122910,11,2,0,0.0,0,6,13,26.5,2,3,1,10,122,26,7,0,32,27,2.9,
Zevi Eckhaus,148535,11,3,0,0.0,0,19,15,30.0,1,5,0,13,41,13,10,1,32,27,2.9,
Tim Carpenter,190715,11,4,0,0.0,0,58,30,37.0,3,3,0,27,22,28,9,0,86,44,7.8,
Grady Brosterhous,156379,10,0,0,0.0,0,14,6,0.0,0,7,1,5,12,0,10,4,14,6,1.4,
Cameron Friel,146195,10,2,0,0.0,0,25,11,22.0,1,6,1,14,42,0,10,2,25,11,2.5,
Eddie Lee Marburger,145511,10,0,0,0.0,0,0,2,0.0,0,2,2,9,37,38,5,0,38,7,3.8,
John Alan Richter,156999,10,2,0,0.0,0,-16,0,0.0,0,0,1,7,48,32,2,0,16,21,1.6,
RJ Martinez,147690,10,0,0,0.0,0,-3,4,0.0,1,2,0,15,33,25,6,0,22,7,2.2,
T.J. Finley,124093,9,1,0,0.0,0,19,11,0.0,0,2,0,8,36,21,5,0,40,29,4.4,
Tad Hudson,170107,9,4,0,0.0,0,16,20,166.7,2,2,1,14,31,18,6,0,34,35,3.8,0.0
Cade McConnell,73935,9,1,0,0.0,0,3,9,0.0,1,1,3,10,48,15,5,0,18,17,2.0,0.0
Jack Tuttle,83580,9,3,0,0.0,0,13,2,0.0,1,2,3,13,54,33,3,0,46,40,5.1,
Trexler Ivey,122184,9,1,0,0.0,0,-18,0,0.0,1,1,0,10,69,13,7,0,-5,3,-0.6,
Chris Parson,172551,9,4,0,0.0,0,29,27,133.3,1,2,1,10,16,0,9,0,29,27,3.2,
Cameran Brown,184894,8,1,2,50.6,42,83,11,17.2,4,4,0,22,11,0,8,0,83,11,10.4,0.0
Drew Devillier,190639,8,3,0,0.0,0,17,4,0.0,1,0,1,10,52,16,5,0,33,42,4.1,
Garret Rangel,157795,8,1,2,72.2,70,88,9,25.0,2,2,0,54,28,9,6,0,97,10,12.1,
EJ Colson,190335,8,7,0,0.0,0,21,14,466.7,0,2,1,9,12,25,3,0,46,59,5.8,
Kyle Lowe,156595,8,1,1,84.8,56,66,8,12.5,1,3,0,56,11,0,8,1,66,8,8.3,
Ken Seals,124359,8,2,0,0.0,0,-1,11,22.4,0,0,1,7,31,7,7,0,6,25,0.8,
Ty Simpson,157008,8,1,2,62.7,32,38,10,20.4,3,4,0,17,42,13,7,1,51,12,6.4,
EJ Caminong,188167,8,2,0,0.0,0,-5,2,0.0,1,2,2,12,8,36,3,0,31,38,3.9,
Connor Moberly,184835,7,1,2,59.3,35,53,23,92.0,2,2,0,18,26,6,5,0,59,25,8.4,0.0
Devin Brown,156479,7,1,0,0.0,0,9,1,0.0,1,1,0,10,41,13,4,0,22,7,3.1,
PJ Hatter,172329,7,0,0,0.0,0,45,22,0.0,2,3,0,11,11,0,7,0,45,22,6.4,
Luke Bottari,73931,7,0,2,86.2,56,65,9,0.0,2,2,2,40,44,0,7,0,65,9,9.3,
Cole Ballard,173062,7,4,0,0.0,0,29,17,188.9,2,3,0,14,21,6,6,0,35,17,5.0,
Cale Hellums,170981,7,0,0,0.0,0,28,14,0.0,1,2,0,10,10,0,7,0,28,14,4.0,
Steve Angeli,156966,7,3,1,90.6,29,23,27,108.0,1,2,1,29,58,9,5,0,32,35,4.6,
Tucker McDonald,171056,7,0,0,0.0,0,1,3,0.0,0,1,0,9,24,0,7,0,1,3,0.1,
Dante Moore,173983,7,0,0,0.0,0,-10,0,0.0,0,0,0,6,18,6,6,0,-4,0,-0.6,
Daniel Beale,197861,7,1,0,0.0,0,0,3,0.0,0,0,0,9,20,14,2,0,14,10,2.0,
Trenton Bourguet,97285,6,0,0,0.0,0,-6,0,0.0,0,0,0,-1,10,0,6,0,-6,0,-1.0,
Devin Kargman,156913,6,0,0,0.0,0,0,0,0.0,1,2,2,12,67,14,4,0,14,2,2.3,0.0
Jackson Stratton,157206,6,1,0,0.0,0,-1,7,0.0,1,1,2,14,88,16,4,0,15,29,2.5,0.0
John White,184784,6,0,0,0.0,0,-20,2,0.0,0,1,4,7,38,10,3,1,-10,4,-1.7,
Cutter Boley,184630,6,0,1,90.9,30,28,2,0.0,1,1,3,30,47,5,5,0,33,14,5.5,
Cade McNamara,101620,6,0,0,0.0,0,2,1,0.0,1,2,3,12,216,20,2,0,22,5,3.7,
Henry Hesson,145798,6,0,0,0.0,0,-2,0,0.0,0,0,0,9,47,24,1,0,22,13,3.7,
Elijah Brown,183276,6,1,0,0.0,0,-8,0,0.0,0,0,1,7,23,18,1,0,10,18,1.7,
Harrison Bailey,124266,6,1,0,0.0,0,-5,0,0.0,1,1,0,13,53,17,4,0,12,14,2.0,
Braden Bohannon,160367,5,0,0,0.0,0,-11,3,0.0,0,0,2,4,9,4,4,0,-7,5,-1.4,
Cameron Rising,77663,5,0,0,0.0,0,0,,100.0,2,2,0,25,59,50,0,0,50,7,10.0,
John-Keawe Sagapolutele,175709,5,0,0,0.0,0,-5,0,0.0,0,1,0,1,14,0,5,0,-5,0,-1.0,
D'Wanye Winfield,176367,5,1,0,0.0,0,19,8,32.0,0,2,0,5,5,0,5,0,19,8,3.8,
Brady Lichtenberg,144226,5,1,0,0.0,0,-4,2,0.0,0,0,1,5,20,2,4,0,-2,3,-0.4,
Trace Campbell,163649,5,1,0,0.0,0,28,13,37.1,1,4,0,10,6,0,7,0,28,13,5.6,-2.5
AJ Bianco,158232,5,0,0,0.0,0,6,7,0.0,0,1,0,9,19,5,3,0,11,7,2.2,0.0
Harrison Barker,121479,5,0,0,0.0,0,33,13,0.0,2,2,1,13,13,0,5,0,33,13,6.6,0.0
Jalen Macon,153929,5,0,0,0.0,0,16,5,0.0,0,1,0,9,8,11,3,1,27,13,5.4,
Walker White,184413,5,0,0,0.0,0,10,7,0.0,0,1,1,8,13,6,4,0,16,8,3.2,
Raheim Jeter,169901,5,1,0,,0,0,11,44.0,0,1,0,7,10,0,5,0,0,11,0.0,
Jake Merklinger,184888,5,0,1,80.0,24,27,7,0.0,1,1,0,24,24,3,4,0,30,7,6.0,
General Booty,71008,5,0,1,67.4,31,46,11,0.0,1,1,0,31,106,0,6,0,46,11,9.2,
Cole Pennington,156787,5,0,0,0.0,0,1,2,0.0,0,0,0,6,16,4,4,0,5,3,1.0,
Justyn Martin,162461,5,1,0,0.0,0,10,4,0.0,0,2,1,8,30,11,2,0,21,18,4.2,
Khalib Johnson,156331,4,0,0,0.0,0,8,5,0.0,0,0,3,8,40,8,3,0,16,5,4.0,
Jack Shields,156830,4,0,0,0.0,0,8,6,0.0,0,0,0,7,9,0,4,0,8,6,2.0,
Rickie Collins,172474,4,4,0,0.0,0,3,5,0.0,1,1,0,11,11,15,1,0,18,22,4.5,
Jacobe Robinson,174006,4,1,0,0.0,0,12,5,55.6,0,1,2,9,28,1,3,1,13,11,3.3,
Max Johnson,124099,4,2,0,0.0,0,0,0,0.0,1,2,0,16,23,20,1,1,20,7,5.0,
Gaston Moore,123756,4,1,1,107.1,15,12,11,122.2,1,1,1,15,62,2,3,0,14,12,3.5,
Austin Simmons,175891,4,0,0,0.0,0,12,5,0.0,0,0,0,9,44,9,3,0,21,5,5.3,
Aidan Warner,177520,4,0,0,0.0,0,6,12,0.0,0,1,0,9,81,3,3,1,9,12,2.3,
Dylan Morris,100570,4,0,0,0.0,0,-8,0,0.0,0,0,1,-1,18,0,4,0,-8,0,-2.0,
Davis Beville,99588,4,0,0,0.0,0,15,3,0.0,1,2,0,10,20,0,4,0,15,3,3.8,
Shay Smith,188323,4,0,0,0.0,0,1,2,0.0,0,1,1,3,4,0,4,1,1,2,0.3,
Michael Kern,97799,4,1,0,0.0,0,5,7,0.0,0,1,1,8,42,10,2,0,15,13,3.8,
Jackson Gutierrez,189488,4,0,0,0.0,0,18,12,0.0,0,1,1,7,9,0,4,0,18,12,4.5,
Reese Poffenbarger,145346,3,0,0,0.0,0,20,7,0.0,1,3,1,11,23,9,2,0,29,23,9.7,
Jake Jensen,147512,3,0,0,0.0,0,-5,1,0.0,0,0,0,-1,3,0,3,0,-5,1,-1.7,
Trent Pearman,156233,3,1,0,0.0,0,16,11,122.2,0,0,0,9,11,0,3,0,16,11,5.3,
Pierce Clarkson,174699,3,1,0,0.0,0,14,7,77.8,0,1,0,9,7,0,3,0,14,7,4.7,
Blake Kendall,156711,3,0,0,0.0,0,-6,0,0.0,0,0,0,-2,4,0,3,0,-6,0,-2.0,
Hank Brown,172439,3,1,0,0.0,0,7,6,0.0,0,1,0,9,48,3,2,0,10,16,3.3,
Alberto Mendoza,188673,3,0,0,0.0,0,-7,2,0.0,0,0,0,2,12,2,2,0,-5,9,-1.7,
Billy Atkins,148354,3,1,0,0.0,0,4,5,55.6,0,0,0,3,46,0,3,0,4,5,1.3,0.0
Ajani Sheppard,170317,3,2,1,83.3,20,20,11,550.0,1,1,0,20,22,4,2,0,24,14,8.0,
Jeremiah Salem,157478,3,0,0,0.0,0,2,0,0.0,0,0,0,5,23,1,2,0,3,0,1.0,
Ryan Hilinski,71295,3,0,0,0.0,0,-2,0,0.0,0,0,1,0,14,0,3,0,-2,0,-0.7,
Jacob Knuth,157493,3,0,0,0.0,0,0,,100.0,1,1,1,10,9,14,0,0,14,7,4.7,
Jacob Conover,70963,3,0,0,0.0,0,-3,0,0.0,0,0,1,4,4,4,2,0,1,3,0.3,
Tommy Schuster,108954,3,0,0,0.0,0,-1,0,0.0,0,2,1,5,27,5,2,1,4,0,1.3,
Kenny Minchey,171091,2,1,0,0.0,0,12,10,250.0,0,2,0,7,2,0,2,1,12,10,6.0,
Jacob Winters,171368,2,0,0,0.0,0,-2,0,0.0,0,0,0,0,6,0,2,0,-2,0,-1.0,
Ryan Staub,171906,2,0,0,0.0,0,0,,100.0,0,0,1,9,13,12,0,0,12,0,6.0,
Dylan Lonergan,172386,2,0,0,0.0,0,-3,0,0.0,1,1,0,16,18,16,1,0,13,0,6.5,
Ben Locklear,144088,2,0,0,0.0,0,-2,0,0.0,0,0,0,-1,3,0,2,0,-2,0,-1.0,
Ui Ale,173036,2,1,0,0.0,0,4,8,200.0,0,0,0,3,8,0,2,0,4,8,2.0,
Destin Wade,163784,2,0,0,0.0,0,-4,0,0.0,0,0,0,-2,2,0,2,0,-4,0,-2.0,
Turner Helton,163044,2,0,0,0.0,0,-2,0,0.0,0,0,0,-1,10,0,2,0,-2,0,-1.0,
Stephen Kittleman,126906,2,0,0,0.0,0,11,5,0.0,0,1,0,9,2,0,2,1,11,5,5.5,
Austin Novosad,174133,2,0,0,0.0,0,-4,0,0.0,0,0,0,-2,14,0,2,0,-4,0,-2.0,
Mikey Pauley,162835,2,0,0,0.0,0,17,7,0.0,1,2,0,10,9,0,2,0,17,7,8.5,
Travis Egan,174701,2,0,0,0.0,0,11,8,0.0,0,0,0,9,3,0,2,0,11,8,5.5,
Teddy Purcell,162500,2,0,0,0.0,0,-2,0,0.0,0,0,0,-1,2,0,2,0,-2,0,-1.0,
Jaxon Potter,176687,2,0,0,0.0,0,-4,0,0.0,0,0,0,-2,9,0,2,0,-4,0,-2.0,
Julian Sayin,183708,2,0,0,0.0,0,0,,100.0,1,1,0,19,13,24,0,0,24,2,12.0,
Ta'Quan Roberson,101625,2,0,0,0.0,0,6,2,0.0,0,0,0,7,21,0,2,0,6,2,3.0,
Holden Geriner,157045,2,0,0,0.0,0,-2,0,0.0,0,0,0,6,10,6,1,0,4,1,2.0,
Michael Johnson Jr.,97796,2,0,0,0.0,0,0,,100.0,0,0,0,4,5,8,0,0,8,2,4.0,
Lex Thomas,170381,2,1,0,0.0,0,8,10,250.0,0,1,0,9,18,0,2,0,8,10,4.0,
Grayson Loftis,170054,2,0,0,0.0,0,4,4,0.0,0,1,0,5,2,0,2,0,4,4,2.0,
Brody Rhodes,143927,2,0,0,0.0,0,17,6,0.0,0,1,0,9,3,0,2,0,17,6,8.5,
Jayden Mandal,173516,1,0,0,0.0,0,0,,100.0,0,0,0,3,20,3,0,0,3,2,3.0,
Jackson Brousseau,173480,1,0,0,0.0,0,0,,100.0,0,0,0,8,6,8,0,0,8,0,8.0,
Jalyn Gramstad,180656,1,1,0,0.0,0,0,,100.0,0,0,0,2,4,2,0,0,2,2,2.0,
William Fierro,183249,1,0,0,0.0,0,3,1,0.0,0,0,0,3,1,0,1,0,3,1,3.0,
Navy Shuler,122254,1,1,0,0.0,0,6,8,800.0,0,0,0,6,8,0,1,0,6,8,6.0,
Kirkland Michaux,158218,1,0,0,0.0,0,-1,0,0.0,0,0,0,-1,1,0,1,0,-1,0,-1.0,
Trever Jackson,183303,1,0,0,0.0,0,2,1,0.0,0,0,0,2,1,0,1,0,2,1,2.0,
Michael Merdinger,183334,1,0,0,0.0,0,1,1,0.0,0,0,1,1,11,0,1,0,1,1,1.0,
Deuce Hogan,129470,1,0,0,0.0,0,0,,100.0,1,0,0,13,14,13,0,0,13,3,13.0,
Colt Fulton,145981,1,0,0,0.0,0,-2,0,0.0,0,0,0,-2,1,0,1,0,-2,0,-2.0,
Nate Hampton,147548,1,0,0,0.0,0,0,,100.0,0,0,0,7,12,7,0,0,7,3,7.0,
David Lynch,170120,1,0,0,0.0,0,0,,100.0,0,0,0,2,25,2,0,0,2,2,2.0,
Giles Pooler,146019,1,0,0,0.0,0,-1,0,0.0,0,0,0,-1,1,0,1,0,-1,0,-1.0,
Mabrey Mettauer,183668,1,1,0,0.0,0,0,,100.0,0,0,0,2,14,2,0,0,2,12,2.0,
JR Blood,104782,1,0,0,0.0,0,-1,1,0.0,0,0,0,-1,2,0,1,0,-1,1,-1.0,
Roman Gagliano,183961,1,0,0,0.0,0,0,,100.0,0,0,1,9,5,9,0,0,9,1,9.0,
CJ Carr,184093,1,0,0,0.0,0,-2,0,0.0,0,0,0,-2,4,0,1,0,-2,0,-2.0,
Deuce Adams,190581,1,0,0,0.0,0,1,1,0.0,0,0,0,1,1,0,1,0,1,1,1.0,
Will Perry,184159,1,0,0,0.0,0,0,,100.0,0,0,0,2,0,2,0,0,2,0,2.0,
Tyler Budge,184278,1,0,0,0.0,0,0,,100.0,0,0,0,9,2,9,0,0,9,5,9.0,
Dematrius Davis,146660,1,0,0,0.0,0,3,0,0.0,0,0,0,3,1,0,1,0,3,0,3.0,0.0
Landry Lyddy,156581,1,0,0,0.0,0,0,,100.0,1,1,0,11,3,11,0,0,11,3,11.0,
KJ Jackson,184386,1,0,0,0.0,0,0,,100.0,0,0,0,3,5,3,0,0,3,3,3.0,
Trey Owens,184514,1,0,0,0.0,0,0,,100.0,0,0,0,3,22,3,0,0,3,2,3.0,
Arrington Maiden,184715,1,1,0,0.0,0,-3,2,200.0,0,0,0,-3,1,0,1,0,-3,2,-3.0,
Drake Lindsey,184727,1,0,0,0.0,0,0,,100.0,0,0,0,6,12,6,0,0,6,0,6.0,0.0
Paul Tyson,98363,1,0,0,0.0,0,-1,0,0.0,0,0,0,-1,4,0,1,0,-1,0,-1.0,
Nate Bennett,184815,1,0,0,0.0,0,-2,0,0.0,0,0,0,-2,6,0,1,0,-2,0,-2.0,
Casey Thompson,77677,1,0,0,0.0,0,-3,0,0.0,0,0,0,-3,1,0,1,0,-3,0,-3.0,
Harris Boyd,169933,1,0,0,0.0,0,4,1,0.0,0,1,0,4,7,0,1,1,4,1,4.0,
Mason Maggs,162872,1,0,0,0.0,0,3,2,0.0,0,0,0,3,1,0,1,0,3,2,3.0,
Malachi Nelson,174203,1,0,0,0.0,0,-2,0,0.0,0,0,0,-2,37,0,1,0,-2,0,-2.0,
Anthony Garcia,174863,1,0,0,0.0,0,1,3,0.0,0,0,0,1,1,0,1,0,1,3,1.0,
Lincoln Kienholz,170256,1,0,0,0.0,0,-3,0,0.0,0,0,0,-3,8,0,1,0,-3,0,-3.0,
Christian Gelov,123074,1,0,0,0.0,0,12,3,0.0,1,1,0,12,3,0,1,0,12,3,12.0,
Cole Tannenbaum,158746,1,0,0,0.0,0,-4,0,0.0,0,0,1,-4,15,0,1,0,-4,0,-4.0,
Isaiah Chavez,128257,1,0,0,0.0,0,1,3,0.0,0,0,0,1,4,0,1,0,1,3,1.0,
Gunnar Gray,171202,1,0,0,0.0,0,-2,0,0.0,0,0,0,-2,16,0,1,0,-2,0,-2.0,
Zion Turner,158636,1,0,0,0.0,0,3,2,0.0,0,0,0,3,2,0,1,0,3,2,3.0,
