player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,55,20,1,6.9,20,1,122,0,0,9,87,81.5,12,15,261,5,8,33.5,61.9,83.5,61.5,,,59.5,60.0,48,1,0,0,0,119,166,24,0,31,1,288,220,4.0,5.2,,12
Byrum Brown,156206,QB,USF,6,54,15,4,26.4,94,0,252,0,0,12,170,137.7,13,16,327,2,16,66.0,67.0,84.0,61.5,,78.4,67.2,60.1,42,1,12,1,2,142,104,16,1,39,3,356,238,4.41,6.6,6.0,11
Ty Thompson,146568,QB,TULANE,12,53,7,2,25.8,67,0,238,0,0,5,148,30.8,7,21,319,1,33,64.0,65.8,81.1,43.0,,53.9,76.9,60.1,50,0,0,0,4,110,22,4,0,49,6,260,158,2.98,4.9,0.0,8
Fernando Mendoza,158323,QB,CAL,11,52,8,2,12.3,41,0,90,0,0,0,22,0.0,12,21,130,3,12,62.3,77.4,71.5,75.7,,54.1,66.3,60.2,50,4,9,0,1,262,244,28,0,24,2,334,156,3.0,6.4,9.0,2
Tahj Bullock,144070,QB,AKRON,12,52,9,1,9.1,15,0,153,3,1,9,87,28.0,2,18,102,4,20,32.5,70.8,84.1,70.3,,54.4,73.0,61.2,15,0,63,10,47,110,12,1,16,61,8,165,104,2.0,3.2,1.34,22
Chandler Morris,122938,QB,N TEXAS,12,52,13,3,18.4,54,0,54,0,0,7,36,57.1,11,15,251,2,3,76.1,78.9,89.7,75.8,,55.9,69.4,60.2,49,0,0,0,1,286,240,31,0,21,4,294,117,2.25,5.7,0.0,4
Kyle McCord,145053,QB,SYRACUSE,13,51,2,1,18.7,29,0,34,0,0,0,13,0.0,5,23,304,6,1,58.6,90.5,83.7,87.5,,56.0,77.4,60.8,29,1,0,0,2,351,121,15,0,36,3,155,81,1.59,3.0,0.0,1
Sawyer Robertson,146839,QB,BAYLOR,12,51,9,2,19.4,65,0,139,0,0,6,104,79.6,10,19,118,2,3,60.9,78.1,72.4,74.8,,,70.8,60.1,45,3,0,0,0,364,196,23,0,28,4,335,194,3.8,6.6,,12
Stone Earle,123504,QB,MARSHALL,8,51,6,2,12.3,31,0,172,0,0,5,68,24.8,10,17,214,3,11,43.5,58.0,63.5,55.2,62.2,,62.8,60.0,16,3,0,0,0,116,80,14,0,37,0,252,103,2.02,4.9,,12
Darian Mensah,169984,QB,TULANE,13,50,7,0,0.0,0,0,29,0,0,1,17,5.2,10,21,319,7,1,33.8,82.1,89.1,81.4,,49.3,62.7,60.1,22,2,0,0,4,405,221,32,0,18,1,250,83,1.66,5.0,0.0,0
Jase Bauer,145714,QB,SM HOUSTON,7,49,2,4,36.0,73,0,141,0,0,2,84,11.9,9,11,281,2,16,63.0,68.8,81.5,71.1,,57.4,60.4,60.0,25,0,1,1,1,115,62,12,1,38,0,203,113,2.31,4.1,1.0,6
Donovan Smith,73929,QB,HOUSTON,9,49,10,2,22.7,56,0,168,0,0,5,84,32.4,9,20,182,2,18,65.6,60.5,48.6,53.0,,,70.6,60.0,37,5,0,0,0,136,79,13,0,36,3,247,147,3.0,5.0,,8
Jacurri Brown,156344,QB,UCF,9,49,16,6,44.1,188,0,316,0,0,11,129,115.8,11,20,323,3,19,46.5,65.3,33.0,48.9,,,78.2,60.0,67,3,0,0,0,118,110,14,0,35,4,426,202,4.12,8.7,,11
Carson Beck,124010,QB,GEORGIA,13,49,5,0,0.0,0,1,7,0,0,1,15,2.8,8,14,173,8,1,41.9,81.2,73.6,80.2,,,62.2,60.0,14,11,0,0,0,317,190,26,0,23,1,197,57,1.16,4.0,,2
Max Brosmer,105568,QB,MINNESOTA,13,49,3,0,0.0,0,0,15,0,0,0,15,0.0,1,18,225,4,4,63.8,84.0,81.3,84.2,,53.4,59.1,60.4,28,1,0,0,2,339,119,25,0,24,5,134,83,1.69,2.7,0.0,0
Jacolby Criswell,122830,QB,N CAROLINA,12,48,11,1,5.5,15,1,45,0,0,1,33,14.7,10,22,245,5,2,52.9,69.1,79.6,66.2,,51.4,67.8,60.2,20,3,-2,0,3,315,227,33,0,15,3,272,144,3.0,5.7,-0.67,3
Gevani McCoy,147609,QB,OREGON ST,10,48,16,5,25.6,103,0,133,0,0,5,55,62.4,13,21,265,8,1,35.0,68.7,75.1,66.7,,51.6,63.0,60.1,71,1,0,0,2,268,270,27,0,21,5,403,208,4.33,8.4,0.0,12
Bryce Archie,156667,QB,USF,12,48,7,4,37.0,95,0,177,0,0,4,65,27.1,8,13,327,3,13,50.6,62.4,87.4,60.1,62.2,47.7,63.6,60.1,35,1,0,0,1,233,80,17,0,31,2,257,118,2.46,5.4,0.0,8
Josh Holst,171312,QB,N ILLINOIS,7,48,2,4,35.0,93,0,135,0,0,1,63,8.6,8,10,254,3,9,64.4,56.3,83.1,49.2,,77.0,65.4,60.1,36,0,0,0,1,129,131,21,0,27,1,266,112,2.33,5.5,0.0,9
Isaac Wilson,183872,QB,UTAH,9,48,7,1,8.8,15,0,40,0,0,2,45,10.7,5,8,328,6,7,34.9,49.9,86.2,51.3,62.2,,49.4,60.2,48,0,0,0,0,217,130,19,0,29,0,170,92,1.92,3.5,,12
KJ Jefferson,99129,QB,UCF,5,48,15,2,16.5,44,0,196,0,0,7,113,54.8,10,17,323,3,21,53.9,69.7,51.6,64.9,,,69.9,60.2,23,2,0,0,0,199,71,10,0,38,2,267,172,3.58,5.6,,11
Danny O'Neil,184200,QB,S DIEGO ST,11,48,8,2,24.2,62,0,101,0,0,4,28,28.0,8,11,284,5,7,58.8,69.8,88.8,73.4,62.2,59.5,45.5,60.2,34,3,0,0,1,319,155,28,1,20,1,256,88,1.83,5.3,0.0,9
Gavin Wimsatt,155757,QB,KENTUCKY,8,47,9,2,19.9,39,0,182,0,0,8,112,44.2,6,15,202,2,32,62.2,68.9,79.9,57.5,,,71.2,60.0,24,0,0,0,0,93,14,2,0,45,2,196,114,2.43,4.2,,4
Noah Fifita,158722,QB,ARIZONA,12,46,8,1,9.1,20,0,40,1,0,1,16,5.2,12,16,109,3,3,68.2,76.1,89.1,73.1,,57.3,69.0,60.0,24,2,14,1,2,267,179,29,2,18,1,219,156,3.39,4.8,7.0,4
Ethan Hampton,145858,QB,N ILLINOIS,11,46,8,0,0.0,0,0,28,0,0,0,11,0.0,7,16,254,5,3,52.9,70.3,78.3,65.0,,51.9,74.0,61.0,32,2,0,0,3,355,187,27,0,19,2,215,104,2.26,4.7,0.0,2
Cam Ward,133244,QB,MIAMI FL,13,44,11,0,0.0,0,0,11,0,0,0,6,0.0,14,23,220,4,3,50.5,92.9,89.5,91.7,,84.3,77.8,60.0,24,0,7,1,2,313,325,32,1,13,4,336,174,3.95,7.6,3.5,1
Parker Awad,183974,QB,NEW MEX ST,7,44,6,2,18.8,42,0,121,0,0,3,54,18.0,6,12,242,4,13,58.4,59.6,57.9,49.6,,,77.3,60.0,25,2,0,0,0,212,103,14,0,30,1,224,86,1.95,5.1,,7
Michael Van Buren Jr.,184764,QB,MISS STATE,10,43,6,0,0.0,0,0,28,0,0,0,8,0.0,2,12,227,9,6,45.9,65.9,65.0,67.1,,,55.4,60.0,17,6,0,0,0,225,134,28,0,15,5,162,117,2.72,3.8,,7
DJ Lagway,184426,QB,FLORIDA,12,42,5,1,13.3,25,0,94,0,0,1,43,6.4,4,7,163,2,8,58.9,67.0,49.5,72.9,,,46.1,60.5,25,4,0,0,0,257,94,16,0,26,0,188,111,2.64,4.5,,11
Matthew Caldwell,150302,QB,TROY,10,41,1,2,29.7,30,0,90,0,0,1,53,3.6,5,14,318,7,14,29.6,63.7,86.3,62.0,62.2,85.1,59.1,60.0,15,1,29,1,2,243,11,3,1,39,5,101,69,1.68,2.5,14.5,12
Ryan Browne,174949,QB,PURDUE,8,41,9,3,26.5,59,0,116,0,0,3,49,23.5,9,11,273,2,14,61.5,67.0,81.8,57.1,,54.3,73.4,60.0,23,0,0,0,1,101,107,16,0,25,0,223,94,2.29,5.4,0.0,9
Josh Hoover,127148,QB,TCU,13,41,2,0,0.0,0,0,10,0,0,0,9,0.0,2,12,305,7,2,57.7,83.5,81.9,84.3,62.2,58.2,53.8,60.7,12,3,0,0,2,319,76,17,0,24,4,86,45,1.1,2.1,0.0,3
Bishop Davenport,163426,QB,S ALABAMA,11,41,7,1,27.2,50,0,140,0,0,4,99,38.7,5,9,288,1,21,52.8,63.4,56.6,59.0,,,65.4,60.0,50,2,0,0,0,100,44,9,0,32,1,184,133,3.24,4.5,,4
Brendan Sullivan,145034,QB,IOWA,10,41,9,2,18.8,38,0,85,0,0,4,40,33.1,5,15,192,5,5,24.5,59.1,82.3,56.0,,,59.9,60.0,30,2,0,0,0,153,117,19,0,22,4,202,76,1.85,4.9,,9
Katin Houser,158386,QB,E CAROLINA,9,40,7,3,30.7,71,1,152,0,0,5,98,58.3,7,16,156,4,18,43.8,74.1,64.3,73.2,,,63.3,60.0,35,4,0,0,0,252,79,11,0,29,4,231,153,3.83,5.8,,4
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,13,40,1,1,15.2,21,0,4,0,0,1,7,2.0,4,8,144,5,0,66.3,69.3,50.1,72.5,,63.7,45.4,60.4,23,6,6,1,5,432,134,22,2,19,4,138,18,0.45,3.5,1.2,7
Dewayne Coleman,163179,QB,ARMY,7,40,8,1,10.9,15,0,138,0,0,8,100,50.0,3,12,114,1,19,79.9,72.9,41.5,74.6,,,65.1,60.7,15,1,0,0,0,95,0,0,0,40,1,138,100,2.5,3.5,,12
Robby Ashford,131702,QB,S CAROLINA,8,39,17,5,47.1,123,0,202,0,0,11,98,119.8,9,11,289,5,18,21.6,77.2,79.5,74.5,,,68.4,60.0,38,0,0,0,0,77,59,9,0,30,2,261,133,3.41,6.7,,7
Matthew Sluka,143059,QB,UNLV,3,39,19,3,35.9,97,0,223,0,0,13,163,194.6,9,16,325,4,15,27.9,75.4,53.0,59.2,,54.3,81.8,60.0,46,1,0,0,1,106,47,6,0,33,1,270,225,5.77,6.9,0.0,4
Brett Gabbert,97404,QB,MIAMI OH,14,39,1,0,0.0,0,0,-5,0,0,0,2,0.0,3,6,221,2,1,64.8,60.1,54.2,60.6,62.2,,53.7,60.0,18,6,0,0,0,312,136,22,0,17,1,131,61,1.56,3.4,,4
Behren Morton,144747,QB,TEXAS TECH,12,38,2,2,29.7,47,0,69,0,0,0,13,0.0,4,8,315,3,4,74.9,79.0,89.7,77.9,,49.3,60.2,60.6,26,1,0,0,2,333,89,19,0,19,1,158,49,1.29,4.2,0.0,6
Nicco Marchiol,157363,QB,W VIRGINIA,8,38,9,2,26.2,37,0,90,0,0,5,61,41.8,5,7,343,2,14,42.1,60.1,81.0,65.6,,,52.3,60.0,19,0,0,0,0,95,51,11,0,27,2,141,114,3.0,3.7,,2
Tommy Ulatowski,163150,QB,KENT STATE,10,38,5,2,23.6,34,0,60,0,0,2,22,8.3,5,7,201,6,7,51.0,57.2,85.5,58.3,,50.0,52.8,60.3,34,2,0,0,2,180,84,15,0,23,1,144,49,1.29,3.8,0.0,7
Beau Pribula,164182,QB,PENN STATE,13,38,9,2,26.2,67,0,207,0,0,6,73,37.9,8,13,266,4,14,37.4,91.4,54.1,92.6,,51.4,76.4,60.5,49,1,0,0,9,135,49,4,0,34,4,256,99,2.61,6.7,0.0,16
Walker Eget,146170,QB,S JOSE ST,12,38,5,2,29.6,48,0,81,0,0,3,61,25.1,5,8,285,5,8,65.3,84.7,86.9,81.8,,54.3,70.3,60.1,32,2,0,0,1,170,81,11,0,27,0,162,109,2.87,4.3,0.0,3
Collin Schlee,98025,QB,VA TECH,10,38,13,1,10.2,18,0,120,0,0,4,52,28.5,4,10,337,2,10,42.4,61.4,81.3,52.6,,55.0,68.4,61.0,18,0,0,0,5,87,56,11,0,27,2,176,124,3.26,4.6,0.0,10
Luke Kromenhoek,183305,QB,FLORIDA ST,6,38,9,3,31.2,78,0,135,0,0,3,98,73.5,9,11,167,6,10,33.8,62.3,82.3,57.4,,,65.9,60.1,42,0,0,0,0,99,115,18,0,20,0,250,192,5.05,6.6,,8
Quinn Ewers,127253,QB,TEXAS,14,37,2,0,0.0,0,0,-35,0,0,0,2,0.0,2,9,311,10,2,28.3,72.5,89.8,71.8,62.2,54.3,55.6,60.0,26,1,0,0,1,373,125,19,0,18,2,90,51,1.38,2.4,0.0,2
Aidan Armenta,175731,QB,LA MONROE,12,37,3,2,49.3,75,0,88,0,0,1,54,8.6,8,9,209,7,6,56.3,71.6,64.2,67.4,,57.6,71.7,60.1,43,6,0,0,1,296,64,12,0,25,1,152,82,2.22,4.1,0.0,8
Evan Bullock,170452,QB,LA TECH,12,37,5,0,0.0,0,0,38,0,0,1,15,3.1,3,7,208,9,2,38.5,68.3,88.5,68.9,,51.3,54.6,61.5,14,3,0,0,4,306,45,15,0,22,1,83,71,1.92,2.2,0.0,4
Tucker Kilcrease,156863,QB,TROY,7,36,6,2,25.3,41,0,117,0,0,3,61,27.1,5,6,318,3,16,57.8,53.1,80.1,58.4,,,50.6,60.0,25,0,0,0,0,75,45,10,0,26,0,162,120,3.33,4.5,,3
Joshua Wood,163421,QB,FRESNO ST,13,36,12,0,0.0,0,0,115,0,0,12,107,111.1,5,12,169,0,21,78.5,77.4,78.2,68.2,,56.4,73.4,60.0,15,0,0,0,3,54,17,2,0,34,6,132,112,3.11,3.7,0.0,9
Tyler Jefferson,171233,QB,C MICHIGAN,7,35,4,4,43.0,111,0,149,0,0,2,70,43.2,9,12,134,4,11,23.5,42.4,81.5,36.8,,,57.0,60.3,44,0,0,0,0,98,109,17,0,18,1,258,118,3.37,7.4,,4
Kiael Kelly,145634,QB,BALL ST,11,35,6,1,25.3,24,0,95,0,0,6,87,39.2,2,5,117,4,28,51.9,55.9,80.0,49.6,,59.7,57.4,60.3,24,0,10,3,22,49,0,0,3,38,1,95,87,2.49,2.7,0.45,6
Dylan Raiola,183581,QB,NEBRASKA,13,34,1,1,15.3,15,0,8,0,0,0,5,0.0,4,7,238,7,2,43.3,72.1,89.6,71.5,,,54.7,60.6,38,4,0,0,0,371,90,13,0,21,0,98,32,0.94,2.9,,6
Kurtis Rourke,97998,QB,INDIANA,12,33,3,0,0.0,0,0,0,0,0,0,8,0.0,4,9,190,7,4,56.8,88.4,88.5,90.2,,54.3,46.7,60.2,12,2,0,0,1,328,100,17,0,16,2,100,49,1.48,3.0,0.0,3
Grayson James,145214,QB,BOSTON COL,6,33,4,0,0.0,0,0,11,0,0,1,16,4.9,5,11,121,5,7,65.8,68.9,85.0,64.8,,,68.9,60.2,20,0,0,0,0,189,119,15,0,18,3,130,107,3.24,3.9,,2
JP Pickles,183996,QB,UTEP,3,33,3,1,10.2,17,0,92,0,0,1,52,9.8,5,10,330,0,21,76.3,58.3,79.8,46.7,,54.3,69.2,60.2,17,0,0,0,1,62,74,10,0,23,1,166,103,3.12,5.0,0.0,2
Santino Marucci,144197,QB,NEW MEX ST,7,32,7,1,19.5,38,0,100,0,0,3,44,45.7,8,10,242,4,4,27.6,50.5,63.7,50.5,,,55.3,60.3,38,1,0,0,0,128,95,15,0,17,1,195,95,2.97,6.1,,6
Zach Gibson,100201,QB,GA STATE,7,32,3,1,11.6,16,0,50,0,0,1,17,8.7,5,13,175,3,4,68.3,73.8,65.4,73.5,,,63.0,60.0,16,2,0,0,0,103,88,18,0,14,1,138,42,1.31,4.3,,2
Zach Pyron,156309,QB,GA TECH,10,32,5,0,0.0,0,0,79,0,0,3,53,30.1,4,13,176,0,14,76.3,60.2,80.3,53.0,,,67.2,60.0,20,1,0,0,0,67,55,9,0,23,4,134,96,3.0,4.2,,6
Nick Poulos,188474,QB,OHIO,8,31,6,3,30.1,58,0,116,0,0,5,85,80.3,10,14,259,4,13,23.0,66.1,52.1,63.5,,,64.6,60.0,22,1,0,0,0,99,77,8,0,23,1,193,107,3.45,6.2,,2
Quinn Henicle,190064,QB,DOMINION,3,30,4,4,60.9,196,0,280,0,0,4,58,31.8,8,10,263,1,11,55.0,73.9,79.5,40.8,,,87.7,60.1,92,0,0,0,0,89,42,3,0,27,3,322,61,2.03,10.7,,12
DJ Uiagalelei,122162,QB,FLORIDA ST,5,30,7,0,0.0,0,0,-1,0,0,1,18,5.0,1,8,167,2,6,65.1,71.2,83.6,72.5,,,56.3,60.0,13,2,0,0,0,115,47,11,0,19,0,46,69,2.3,1.5,,3
Chandler Rogers,98683,QB,CAL,8,30,3,1,24.3,25,0,72,0,0,1,22,3.7,3,7,130,0,13,76.5,60.8,78.5,56.0,,55.8,63.3,60.0,25,0,3,1,3,57,31,6,1,25,1,103,28,0.93,3.4,1.0,1
Hudson Card,123109,QB,PURDUE,10,30,7,0,0.0,0,0,24,0,1,3,31,51.7,5,7,273,2,7,77.9,73.3,74.0,72.0,,59.1,63.8,60.1,23,2,-7,1,1,192,104,15,1,16,0,128,69,2.3,4.3,-7.0,2
Tyler Shough,83537,QB,LOUISVILLE,12,30,2,1,35.6,47,0,63,0,0,0,16,0.0,2,9,210,2,3,72.6,87.4,71.1,87.7,,,56.0,60.1,47,3,0,0,0,322,69,18,0,12,1,132,57,1.9,4.4,,2
Connor Bazelak,99135,QB,BOWL GREEN,13,29,0,1,19.1,17,0,38,0,0,0,20,0.0,4,9,122,5,5,69.5,77.6,89.4,75.4,,48.4,66.6,60.3,19,2,0,0,3,350,51,7,0,22,2,89,26,0.9,3.1,0.0,6
Chandler Fields,97286,QB,LA LAFAYET,7,28,1,1,31.2,34,0,53,0,0,1,34,13.3,4,6,207,0,2,75.6,87.3,58.8,91.0,,,56.7,60.0,34,1,0,0,0,107,56,12,0,16,2,109,54,1.93,3.9,,6
Hayden Wolff,98362,QB,W MICHIGAN,13,28,2,0,0.0,0,0,-25,0,0,0,8,0.0,2,3,347,5,3,58.0,70.5,71.7,71.5,,46.3,49.0,60.0,16,4,0,0,2,412,51,11,1,17,0,26,39,1.39,0.9,0.0,1
Jacob Zeno,98014,QB,UAB,4,27,1,0,0.0,0,0,33,0,0,0,14,0.0,5,5,321,2,2,61.6,68.0,83.5,66.4,,,62.4,60.1,26,2,0,0,0,134,128,19,0,8,0,161,50,1.85,6.0,,4
Joe Fagnano,104768,QB,UCONN,10,27,2,1,19.6,19,0,60,0,0,2,37,22.8,2,6,146,3,5,67.3,68.9,85.8,68.9,,58.9,57.0,60.3,19,2,0,0,2,210,37,9,0,18,1,97,50,1.85,3.6,0.0,8
Tayven Jackson,157615,QB,INDIANA,7,26,4,1,31.4,16,0,39,0,0,3,25,13.0,3,7,190,1,4,76.2,79.3,80.3,75.1,62.2,,70.1,60.1,16,0,0,0,0,111,12,2,0,24,3,51,25,0.96,2.0,,5
Bert Emanuel Jr.,158581,QB,C MICHIGAN,3,26,3,4,49.6,70,0,139,0,0,3,63,32.8,5,7,134,1,19,43.2,65.6,75.4,61.7,62.2,,62.3,60.0,20,0,0,0,0,37,2,2,0,24,3,141,67,2.58,5.4,,5
William Watson III,174771,QB,VA TECH,5,26,4,0,0.0,0,0,71,0,0,1,36,14.1,3,10,337,2,8,56.5,62.1,80.7,53.7,,,70.7,60.0,15,0,0,0,0,81,57,10,0,16,1,128,77,2.96,4.9,,7
Kadin Semonza,174001,QB,BALL ST,12,25,1,1,36.3,53,0,64,0,0,1,61,50.8,3,6,117,7,1,30.0,67.6,89.7,68.8,62.2,46.8,46.4,61.5,53,1,0,2,7,312,82,15,2,12,1,146,89,3.56,5.8,0.0,3
Garrett Nussmeier,146757,QB,LSU,13,25,1,0,0.0,0,0,9,0,0,0,5,0.0,4,11,211,5,0,64.0,84.5,89.9,81.3,,,70.0,60.1,14,4,0,0,0,331,84,12,0,13,3,93,29,1.16,3.7,,2
Blake Shapen,122282,QB,MISS STATE,4,25,2,0,0.0,0,0,10,0,0,0,7,0.0,3,4,227,6,1,29.3,77.2,82.6,84.6,,,45.4,60.2,18,1,0,0,0,98,86,18,0,7,2,96,70,2.8,3.8,,2
Mikey Keene,70961,QB,FRESNO ST,12,25,0,0,0.0,0,0,-11,0,0,0,5,0.0,1,3,169,6,2,42.6,71.2,79.8,73.5,62.2,53.9,39.7,60.8,14,3,0,0,5,279,33,9,0,16,0,22,14,0.56,0.9,0.0,3
Spencer Petras,82136,QB,UTAH ST,9,24,4,0,0.0,0,0,35,0,0,1,16,9.5,0,4,329,2,7,63.5,67.6,87.4,68.3,62.2,,50.4,60.0,9,0,0,0,0,225,43,11,0,13,1,78,50,2.08,3.3,,0
Brock Glenn,170335,QB,FLORIDA ST,7,24,4,1,11.3,17,0,61,0,0,1,30,24.8,6,5,167,3,5,61.2,54.2,59.6,51.0,,57.2,63.7,60.3,17,1,0,0,0,74,90,13,0,11,0,151,126,5.25,6.3,,6
Broc Lowry,173383,QB,W MICHIGAN,11,24,9,1,28.6,40,0,137,0,0,9,78,145.0,4,7,347,0,11,76.9,81.1,75.5,55.5,,,76.4,60.0,40,0,0,0,0,38,3,2,0,22,3,140,82,3.42,5.8,,9
Jalen Kitna,146688,QB,UAB,8,24,2,1,20.6,21,0,9,0,0,0,9,0.0,3,4,321,7,3,28.2,60.2,75.5,65.2,62.2,54.1,31.1,60.7,21,4,-9,1,3,166,93,16,1,9,0,102,42,1.75,4.3,-3.0,2
Jake Garcia,143941,QB,E CAROLINA,6,24,5,0,0.0,0,0,43,0,0,0,14,0.0,3,10,156,5,9,44.4,68.1,84.9,63.2,62.2,,72.8,60.1,19,0,0,0,0,162,85,11,0,13,2,128,59,2.46,5.3,,2
Christian Veilleux,145086,QB,GA STATE,10,24,5,3,37.1,56,0,83,0,0,2,46,31.8,7,9,175,3,2,62.1,63.6,86.8,60.4,,,69.4,60.0,23,1,0,0,0,206,68,7,0,17,1,151,71,2.96,6.3,,5
Heinrich Haarberg,144993,QB,NEBRASKA,12,24,0,0,0.0,0,0,95,0,0,0,44,0.0,4,7,238,0,15,76.5,69.6,81.3,53.7,,59.4,75.4,69.7,13,0,16,2,25,66,10,1,2,25,1,105,44,1.83,4.4,0.64,6
E.J. Warner,156185,QB,RICE,11,23,1,0,0.0,0,0,17,0,0,0,6,0.0,2,5,275,5,4,60.6,66.7,88.5,66.7,,53.9,51.3,60.0,11,2,0,0,2,226,64,12,0,11,1,81,44,1.91,3.5,0.0,3
Logan Smothers,129713,QB,JVILLE ST,7,23,2,3,57.1,104,0,175,0,0,2,38,17.2,6,10,196,1,6,26.6,58.7,77.8,49.5,,,63.8,60.0,72,0,0,0,0,65,7,2,0,21,3,182,45,1.96,7.9,,11
Kaden Anderson,127312,QB,WYOMING,9,23,1,1,44.4,24,1,51,0,0,1,17,3.9,1,4,351,1,8,62.5,67.2,43.0,72.0,,,49.8,60.0,24,2,0,0,0,141,3,2,0,21,2,54,19,0.83,2.3,,10
Brandon Nunez,183978,QB,NEW MEX ST,6,23,3,1,16.3,15,0,86,0,0,3,54,36.7,1,8,242,1,13,50.0,51.8,79.2,43.3,,57.2,62.0,60.0,15,0,0,0,0,86,6,2,0,21,2,92,59,2.57,4.0,,3
Emmett Brown,157344,QB,S JOSE ST,9,23,5,0,0.0,0,0,7,0,0,3,16,18.8,0,1,285,8,2,35.7,71.5,69.9,69.9,,54.6,66.1,60.0,8,3,0,0,2,126,26,7,0,16,1,33,24,1.04,1.4,0.0,6
Max Brown,157756,QB,CHARLOTTE,5,23,6,1,14.9,20,0,51,0,0,3,44,163.0,5,5,136,2,3,42.7,45.3,56.7,44.5,,,56.4,60.0,20,1,0,0,0,75,83,14,0,9,0,134,72,3.13,5.8,,0
Gabarri Johnson,175905,QB,OREGON ST,6,23,11,3,35.8,48,0,74,0,0,5,47,104.4,7,7,265,2,8,46.2,58.9,4.2,46.4,,,72.0,60.0,23,2,0,0,0,47,60,8,0,15,1,134,80,3.48,5.8,,3
Dylan Rizk,174360,QB,UCF,6,22,3,0,0.0,0,0,55,0,0,0,14,0.0,3,7,323,3,2,32.7,67.9,82.9,71.0,,54.3,53.1,60.3,33,3,0,0,1,120,77,8,0,14,0,132,31,1.41,6.0,0.0,11
Forrest Brock,173260,QB,TEMPLE,3,22,4,0,0.0,0,0,50,0,0,4,32,35.5,3,2,306,4,6,32.5,60.5,56.4,68.6,,,41.6,60.0,12,1,0,0,0,72,14,3,0,19,1,64,59,2.68,2.9,,8
