player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jeff Sims,122496,QB,ARIZONA ST,4,22,7,0,0.0,0,0,86,0,0,7,61,166.8,3,9,110,0,13,74.5,63.3,78.5,48.6,,,72.2,60.2,12,1,0,0,0,66,29,6,0,16,1,115,65,2.95,5.2,,3
Brad Jackson,184354,QB,TEXAS ST,3,22,4,3,31.7,52,0,144,0,0,3,74,61.5,9,12,314,0,12,75.5,74.1,76.5,45.6,,,80.1,60.0,18,0,0,0,0,44,20,3,0,19,4,164,87,3.95,7.5,,5
Arch Manning,173162,QB,TEXAS,10,21,3,2,56.2,82,0,88,0,0,2,83,57.4,4,8,311,4,4,43.5,88.0,82.3,81.0,,,81.1,60.0,67,0,0,0,0,126,58,4,0,17,4,146,149,7.1,7.0,,3
Lucian Anderson III,173364,QB,BOWL GREEN,8,21,4,1,31.1,19,0,51,0,0,3,50,41.6,4,5,122,0,9,75.5,66.2,76.2,47.6,,,72.2,60.0,19,0,0,0,0,40,10,2,0,19,2,61,75,3.57,2.9,,3
Maalik Murphy,157302,QB,DUKE,12,20,1,0,0.0,0,0,-30,0,0,1,12,3.7,0,2,154,2,1,67.2,73.5,80.9,72.0,62.2,60.0,59.1,60.1,8,2,0,0,0,340,10,2,0,18,2,-20,21,1.05,-1.0,,2
Mike Wright,124366,QB,NWESTERN,3,20,3,3,67.1,55,0,38,0,0,1,7,3.6,6,7,256,2,4,74.1,62.2,80.1,57.9,,,65.8,60.1,20,0,0,0,0,70,44,6,0,14,1,82,23,1.15,4.1,,7
Conner Weigman,158683,QB,TEXAS A&M,6,20,5,0,0.0,0,0,6,0,0,0,4,0.0,4,6,312,0,1,74.2,59.0,46.7,55.3,,,68.2,60.0,18,2,0,0,0,141,135,16,0,4,0,141,68,3.4,7.1,,1
Kirk Francis,173296,QB,TULSA,11,20,1,0,0.0,0,0,2,0,0,0,1,0.0,3,4,320,4,1,47.4,62.6,47.7,64.9,,54.3,49.2,60.0,15,3,0,0,1,174,76,17,0,3,0,78,42,2.1,3.9,0.0,2
Alan Bowman,77679,QB,OKLA STATE,11,20,0,0,0.0,0,0,25,0,0,0,13,0.0,1,3,262,1,4,74.2,71.5,67.0,70.6,,88.7,57.4,60.2,12,3,14,1,1,259,4,1,1,20,0,29,14,0.7,1.5,14.0,3
Tony Muskett,142933,QB,VIRGINIA,8,20,6,2,22.6,33,0,85,0,0,4,47,95.9,7,12,335,1,8,74.9,72.0,80.3,61.2,,,83.6,60.0,18,1,0,0,0,58,61,6,0,14,4,146,56,2.8,7.3,,4
MJ Morris,157404,QB,MARYLAND,7,19,3,0,0.0,0,0,45,0,0,2,32,32.7,1,3,215,1,8,74.6,59.2,45.7,56.5,,,64.1,60.0,14,1,0,0,0,50,21,5,0,14,1,66,45,2.37,3.5,,2
Tyriq Starks,156514,QB,FAU,5,19,7,0,0.0,0,0,46,0,0,5,37,185.0,3,5,165,1,4,53.4,62.3,80.9,49.8,,89.2,74.6,60.0,12,0,0,0,0,95,61,9,0,10,0,107,77,4.05,5.6,,4
Ahmad Haston,173396,QB,UMASS,5,19,2,3,52.0,89,0,152,0,0,2,63,49.2,4,6,216,0,8,75.1,83.3,77.4,70.6,,,75.0,60.1,38,0,0,0,0,65,19,3,0,16,1,171,67,3.53,9.0,,8
Jayden Maiava,158135,QB,USC,7,19,6,0,0.0,0,0,65,0,0,3,21,23.2,3,10,326,3,3,53.9,81.6,83.8,76.0,,55.9,80.9,60.0,13,2,-3,1,1,131,19,3,1,17,4,84,53,2.79,4.4,-3.0,7
Micah Alejado,184162,QB,HAWAII,4,19,2,1,24.4,19,0,39,0,0,2,17,34.0,1,2,180,0,0,73.8,79.3,41.1,86.4,,,52.5,60.0,19,1,0,0,0,29,39,9,0,10,0,78,26,1.37,4.1,,7
Graham Mertz,97994,QB,FLORIDA,5,18,1,0,0.0,0,0,3,0,0,0,1,0.0,3,9,163,3,2,40.4,73.7,81.5,75.4,,,55.5,60.0,16,0,0,0,0,82,68,9,0,9,1,71,29,1.61,3.9,,0
Ruel Tomlinson,188241,QB,KENT STATE,4,18,1,0,0.0,0,0,28,0,0,0,13,0.0,2,3,201,1,4,44.4,37.6,78.3,39.3,,54.3,48.9,60.0,13,0,0,0,1,46,26,11,0,7,0,54,41,2.28,3.0,0.0,2
Julian Dugger,183269,QB,PITTSBURGH,1,18,5,1,14.8,17,0,85,0,0,3,39,52.0,3,9,268,2,9,33.4,80.2,76.8,50.4,,59.3,87.0,60.5,20,0,0,0,1,35,30,3,0,15,1,115,78,4.33,6.4,0.0,5
AJ Hairston,184157,QB,UMASS,4,18,2,0,0.0,0,0,5,0,0,0,8,0.0,1,5,216,3,0,36.8,52.9,80.8,50.6,,,60.1,60.0,10,0,0,0,0,76,38,9,0,9,1,43,35,1.94,2.4,,6
Nate Yarnell,144037,QB,PITTSBURGH,9,18,4,0,0.0,0,0,2,0,0,1,6,50.0,3,6,268,6,1,63.5,72.6,47.0,72.9,,,60.6,60.0,11,3,-6,1,0,76,85,15,1,4,0,87,58,3.22,4.8,,1
Will Rogers,124184,QB,WASHINGTON,11,18,4,0,0.0,0,0,-17,0,0,0,0,0.0,2,2,340,8,0,30.1,64.0,76.0,67.2,,60.0,31.0,60.1,20,4,0,0,1,210,72,10,0,8,0,55,60,3.33,3.1,0.0,3
Dequan Finn,97804,QB,BAYLOR,3,17,2,2,60.3,73,0,114,0,0,1,14,6.2,4,5,118,3,9,29.5,54.4,79.7,43.7,,54.3,72.0,60.0,39,0,0,0,1,78,7,2,0,15,2,121,29,1.71,7.1,0.0,4
DeShawn Purdie,184271,QB,CHARLOTTE,9,17,7,0,0.0,0,0,-11,0,0,1,1,4.0,5,6,136,8,0,20.8,50.7,71.3,49.5,,,59.8,60.0,19,3,0,0,0,179,92,12,0,5,1,81,70,4.12,4.8,,2
Goose Crowder,144781,QB,TROY,4,16,3,0,0.0,0,0,1,0,0,1,11,44.0,4,5,318,0,3,30.1,84.5,80.3,85.7,,,63.4,60.0,12,1,0,0,0,72,66,11,0,5,1,67,37,2.31,4.2,,1
Hunter Herring,147138,QB,LA MONROE,8,16,4,3,74.1,86,0,116,0,0,4,115,179.7,3,11,209,0,13,75.3,91.1,73.6,74.1,,,82.8,60.0,44,0,0,0,0,21,0,0,0,16,2,116,115,7.19,7.3,,1
Ryan Burger,157544,QB,LIBERTY,5,16,4,0,0.0,0,0,16,0,0,2,12,16.7,1,2,206,2,4,23.1,44.0,25.0,51.9,,,48.2,60.0,57,1,0,0,0,44,67,4,0,12,1,83,61,3.81,5.2,,3
Jack Turner,162969,QB,LA TECH,7,16,1,0,0.0,0,0,-2,0,0,1,14,7.1,1,3,208,4,4,74.0,59.5,80.0,56.7,,,64.5,60.0,10,0,0,0,0,57,10,2,0,14,0,8,17,1.06,0.5,,3
Blake Baker,170448,QB,LA TECH,2,16,1,0,0.0,0,0,12,0,0,1,10,6.9,1,2,208,0,1,73.5,65.5,78.1,65.7,,,60.3,60.0,21,0,0,0,0,49,25,4,0,12,1,37,19,1.19,2.3,,4
JC Evans,184302,QB,JAMES MAD,3,15,0,1,33.8,27,0,80,0,0,0,25,0.0,1,4,197,0,13,75.1,77.4,73.2,74.4,,59.5,68.7,60.0,27,0,0,0,1,21,0,0,0,15,1,80,25,1.67,5.3,0.0,2
Grant Wilson,143041,QB,DOMINION,3,15,4,0,0.0,0,0,20,0,0,1,6,12.2,2,6,263,4,1,23.5,43.3,81.2,41.1,,,57.8,60.3,36,0,0,0,0,70,86,8,0,7,1,106,64,4.27,7.1,,5
JD Sherrod,172365,QB,KENT STATE,2,15,1,1,46.9,30,0,64,0,0,1,48,24.5,1,2,201,1,6,74.6,57.1,74.5,32.6,,,68.3,60.0,30,0,0,0,0,27,0,1,0,14,0,64,49,3.27,4.3,,7
Timmy McClain,144488,QB,ARK STATE,4,15,5,1,29.0,18,0,51,0,0,2,11,18.2,2,3,113,1,3,39.5,61.2,76.6,67.6,,,54.0,60.0,18,0,0,0,0,34,11,4,0,11,1,62,27,1.8,4.1,,5
Dexter Williams II,129457,QB,GA SOUTHRN,5,15,4,1,42.9,18,0,20,0,0,3,31,64.6,2,4,174,2,5,25.6,66.2,77.0,73.2,,54.3,53.4,60.0,20,1,0,0,1,31,22,3,0,12,1,42,71,4.73,2.8,0.0,1
Josh Johnson,186429,QB,AIR FORCE,6,15,4,2,59.4,57,0,62,0,0,3,53,131.4,3,4,101,2,7,32.4,48.8,75.6,47.9,,,55.9,60.0,42,0,0,0,0,30,34,4,0,11,0,96,59,3.93,6.4,,0
Keldric Luster,175287,QB,SMU,5,15,3,0,0.0,0,0,17,0,0,0,21,0.0,3,4,287,1,1,74.0,65.0,74.6,48.1,,,66.0,60.0,17,0,0,0,0,31,33,2,0,13,0,50,49,3.27,3.3,,8
Hauss Hejny,183824,QB,TCU,4,15,3,1,32.3,21,0,57,0,0,2,22,22.4,1,3,305,0,11,74.7,69.2,72.0,,,,65.6,60.0,21,0,0,0,0,17,8,1,0,14,0,65,32,2.13,4.3,,3
Will Hammond,184898,QB,TEXAS TECH,4,15,1,0,0.0,0,0,31,0,0,1,17,21.0,2,7,315,2,4,29.1,61.5,49.4,61.4,,60.0,58.6,60.0,12,1,0,0,1,79,33,6,0,9,2,64,21,1.4,4.3,0.0,4
Braedyn Locke,157141,QB,WISCONSIN,11,15,1,0,0.0,0,1,25,0,0,1,17,17.0,2,7,349,6,0,53.0,61.1,78.1,58.6,,,67.0,60.1,11,2,0,0,0,310,30,5,0,10,2,55,26,1.73,3.7,,4
Grayson McCall,98002,QB,NC STATE,4,15,5,0,0.0,0,0,19,0,0,1,6,24.0,3,3,248,3,2,35.7,70.1,48.8,77.9,,,43.8,60.1,12,1,0,0,0,57,51,10,0,5,0,70,55,3.67,4.7,,2
CJ Harris,130594,QB,CAL,2,14,2,0,0.0,0,0,48,0,0,1,12,12.0,3,5,130,0,5,72.9,58.3,77.2,53.8,,,64.0,60.0,13,0,0,0,0,31,26,4,0,10,0,74,29,2.07,5.3,,1
Gerry Bohanon,77636,QB,BYU,4,14,2,0,0.0,0,0,18,0,0,2,29,29.6,1,2,128,0,6,74.5,64.8,74.0,41.1,,,70.8,60.0,11,0,0,0,0,26,0,0,0,14,0,18,29,2.07,1.3,,0
Drew Mestemaker,190616,QB,N TEXAS,5,14,4,1,66.7,70,0,71,0,0,3,69,171.1,2,4,251,2,3,48.7,75.7,78.8,65.5,,60.0,83.0,60.0,70,0,0,0,1,51,34,3,0,11,1,105,101,7.21,7.5,0.0,3
Conner Harrell,156352,QB,N CAROLINA,6,14,3,1,22.2,16,0,45,0,0,2,17,28.1,4,5,245,3,5,20.9,60.8,79.2,63.0,,,54.5,60.0,16,1,0,0,0,69,27,3,0,11,1,72,24,1.71,5.1,,1
Maealiuaki Smith,183921,QB,OKLA STATE,4,14,1,0,0.0,0,0,36,0,0,1,20,10.2,1,3,262,4,4,74.0,53.9,79.6,51.7,,,62.5,60.0,13,3,0,0,0,45,0,0,0,14,1,36,20,1.43,2.6,,5
Jadyn Glasser,184670,QB,C MICHIGAN,4,14,0,0,0.0,0,0,8,0,0,0,11,0.0,0,3,134,3,5,26.8,41.0,32.4,41.8,,,52.8,60.1,6,2,0,0,0,117,10,3,0,11,1,18,17,1.21,1.3,,1
Gunner Stockton,157072,QB,GEORGIA,5,14,1,0,0.0,0,0,40,0,0,1,22,22.0,0,3,173,3,3,53.4,56.4,80.0,57.2,,,55.3,60.0,9,0,0,0,0,65,11,4,0,10,0,51,28,2.0,3.6,,1
Davis Warren,73940,QB,MICHIGAN,9,13,1,0,0.0,0,0,-8,0,0,0,0,0.0,2,2,222,2,0,52.6,72.1,85.9,70.9,,51.6,59.4,60.0,13,1,0,0,2,232,44,8,0,5,0,36,27,2.08,2.8,0.0,0
Joe Labas,144847,QB,C MICHIGAN,6,13,1,0,0.0,0,0,23,0,0,1,8,50.0,2,5,134,1,2,47.5,64.3,67.2,65.7,,59.2,52.8,60.4,13,1,0,0,1,133,51,9,0,4,0,74,32,2.46,5.7,0.0,2
Noah Kim,129623,QB,COAST CAR,7,13,0,0,0.0,0,0,16,0,0,0,11,0.0,0,2,141,3,2,29.2,57.0,79.1,58.8,,,53.0,60.0,7,0,0,0,0,55,6,1,0,12,0,22,12,0.92,1.7,,4
Javance Tupou'ata-Johnson,175766,QB,S DIEGO ST,4,13,2,0,0.0,0,0,28,0,0,0,13,0.0,2,2,284,0,4,72.0,55.6,78.7,53.6,,,60.1,60.0,13,0,0,0,0,47,37,7,0,6,0,65,34,2.62,5.0,,2
Kasen Weisman,171910,QB,FAU,7,13,0,2,33.7,34,0,46,0,0,0,6,0.0,3,6,165,1,3,52.0,57.7,49.5,59.2,,,55.8,60.0,17,1,0,0,0,64,55,8,0,5,1,101,25,1.92,7.8,,0
Tyler Douglas,173265,QB,TEMPLE,3,13,2,0,0.0,0,0,30,0,0,2,31,36.7,0,1,306,1,5,26.5,48.4,76.6,,70.0,55.2,50.1,60.0,9,0,0,0,11,20,0,0,1,13,0,30,31,2.38,2.3,0.0,5
Tate Rodemaker,122414,QB,SO MISS,9,13,1,0,0.0,0,0,1,0,0,1,8,11.1,1,4,296,4,4,63.4,56.2,67.9,54.6,62.2,74.9,57.2,60.2,11,1,42,1,2,144,19,5,1,9,0,20,13,1.0,1.5,21.0,2
Henry Belin IV,162693,QB,DUKE,4,13,1,0,0.0,0,0,25,0,0,1,29,24.0,1,2,154,0,5,73.6,56.4,77.6,53.3,,50.9,64.8,60.0,11,0,0,0,2,33,11,2,0,11,0,36,41,3.15,2.8,0.0,4
Preston Stone,124716,QB,SMU,7,12,4,0,0.0,0,0,4,0,0,2,8,25.0,2,3,287,1,3,48.6,81.9,40.2,82.3,,,65.0,60.0,12,1,0,0,0,47,40,4,0,8,0,44,27,2.25,3.7,,1
Miller Moss,70727,QB,USC,9,12,1,0,0.0,0,0,35,0,0,1,19,15.7,0,4,326,3,4,56.9,78.5,76.8,76.5,,54.3,65.5,60.1,9,3,0,0,1,215,1,1,0,11,2,36,25,2.08,3.0,0.0,4
Amari Jones,156543,QB,FIU,5,12,3,0,0.0,0,0,-8,0,0,3,13,48.1,1,1,166,3,7,71.2,55.7,75.9,57.7,,,55.7,60.0,18,1,0,0,0,33,33,3,0,9,0,25,21,1.75,2.1,,0
Cardell Williams,156190,QB,TULSA,6,12,3,2,68.5,50,0,66,0,0,3,32,96.0,2,5,320,0,3,72.5,70.1,75.3,52.7,,,74.9,60.0,28,0,0,0,0,28,7,2,0,10,2,73,32,2.67,6.1,,7
Aaron Philo,183222,QB,GA TECH,4,12,2,0,0.0,0,0,22,0,0,0,19,0.0,3,6,176,0,4,73.0,91.3,79.2,90.9,,,69.4,60.0,18,1,0,0,0,38,54,5,0,7,1,76,31,2.58,6.3,,1
Israel Carter,175310,QB,USF,4,11,5,0,0.0,0,0,37,0,0,4,27,220.4,2,2,327,1,2,28.8,60.0,76.5,70.3,,,50.0,60.0,14,1,0,0,0,42,20,4,0,7,0,57,37,3.36,5.2,,4
Malachi Singleton,172426,QB,ARKANSAS,5,11,6,0,0.0,0,0,49,0,0,3,50,185.2,4,5,111,3,6,25.5,80.9,77.2,69.0,,,79.9,60.0,62,0,0,0,0,36,67,2,0,9,3,116,97,8.82,10.5,,2
Ben Gulbranson,131734,QB,OREGON ST,5,11,1,0,0.0,0,0,9,1,0,0,13,0.0,0,8,265,1,0,74.7,80.7,82.7,75.3,,60.0,82.5,60.0,4,1,0,0,1,110,6,2,1,9,1,15,29,2.64,1.4,0.0,1
Christopher Vizzina,170032,QB,CLEMSON,7,11,2,2,65.4,53,0,70,0,0,2,56,138.3,3,5,140,2,6,41.9,59.6,77.7,55.1,,,64.1,60.0,35,0,0,0,0,42,11,2,0,9,1,81,63,5.73,7.4,,0
Chayden Peery,143925,QB,FIU,2,11,2,0,0.0,0,0,25,0,0,1,14,14.0,0,3,166,0,2,72.5,71.1,74.7,60.8,,,70.7,60.0,7,0,0,0,0,21,6,1,0,10,0,31,14,1.27,2.8,,0
Tyler Van Dyke,122225,QB,WISCONSIN,3,11,1,0,0.0,0,0,37,0,0,0,8,0.0,0,2,349,1,2,47.9,72.9,50.8,77.5,,,52.6,60.0,9,1,0,0,0,78,7,2,0,9,1,44,17,1.55,4.0,,3
Chubba Purdy,122412,QB,NEVADA,7,11,2,2,50.7,37,0,59,0,1,0,26,21.7,3,4,239,0,8,72.9,69.7,78.0,70.0,,61.8,63.3,60.1,19,0,10,2,8,27,14,1,2,12,0,73,49,4.45,6.6,1.25,1
Nate Johnson,158489,QB,VANDERBILT,10,11,3,1,49.1,56,0,114,0,1,3,58,175.8,4,3,333,0,9,72.8,62.5,74.3,35.1,,60.7,71.8,60.1,56,0,1,1,2,20,0,0,1,12,1,114,58,5.27,10.4,0.5,0
Brandon Rose,158503,QB,UTAH,3,11,1,1,41.5,27,0,48,0,0,1,19,23.5,1,3,328,0,4,72.5,65.3,77.9,54.4,62.2,,77.3,60.3,27,0,0,0,0,41,17,2,0,9,0,65,20,1.82,5.9,,1
Drew Pyne,122910,QB,MISSOURI,6,11,2,0,0.0,0,0,6,0,0,1,13,26.5,2,3,229,1,2,73.2,60.3,81.9,57.9,,,61.1,60.0,10,0,0,0,0,122,26,4,0,7,0,32,27,2.45,2.9,,3
Zevi Eckhaus,148535,QB,WASH STATE,3,11,3,0,0.0,0,0,19,0,0,2,15,30.0,1,5,341,0,3,73.2,76.5,78.2,69.9,,,75.7,60.0,13,0,0,0,0,41,13,1,0,10,1,32,27,2.45,2.9,,1
Tim Carpenter,190715,QB,TULSA,4,11,4,0,0.0,0,0,58,0,0,1,30,37.0,3,3,320,0,4,72.1,80.6,74.3,61.5,,,78.4,60.0,27,0,0,0,0,22,28,2,0,9,0,86,44,4.0,7.8,,5
Grady Brosterhous,156379,QB,VIRGINIA,7,10,0,0,0.0,0,0,14,0,0,0,6,0.0,0,7,335,1,2,24.3,76.4,70.7,,,,70.1,60.0,5,0,0,0,0,12,0,0,0,10,4,14,6,0.6,1.4,,1
Cameron Friel,146195,QB,UNLV,5,10,2,0,0.0,0,0,25,0,0,2,11,22.0,1,6,325,1,2,25.8,63.5,76.0,61.2,,,61.4,60.3,14,0,0,0,0,42,0,0,0,10,2,25,11,1.1,2.5,,2
Eddie Lee Marburger,145511,QB,UTSA,7,10,0,0,0.0,0,0,0,0,0,0,2,0.0,0,2,331,2,1,27.2,60.3,77.8,66.6,,,45.7,60.0,9,0,0,0,0,37,38,5,0,5,0,38,7,0.7,3.8,,0
John Alan Richter,156999,QB,TOLEDO,5,10,2,0,0.0,0,0,-16,0,0,0,0,0.0,0,0,316,1,0,50.7,70.9,45.9,77.0,,,44.4,60.0,7,2,0,0,0,48,32,8,0,2,0,16,21,2.1,1.6,,0
RJ Martinez,147690,QB,TEXAS ST,4,10,0,0,0.0,0,0,-3,0,0,0,4,0.0,1,2,314,0,0,71.2,50.3,76.7,53.0,,57.0,52.3,60.0,15,1,0,0,0,33,25,4,0,6,0,22,7,0.7,2.2,,0
T.J. Finley,124093,QB,W KENTUCKY,3,9,1,0,0.0,0,0,19,0,0,0,11,0.0,0,2,346,0,2,72.5,66.9,79.3,67.7,,,56.9,60.0,8,0,-7,1,0,36,21,5,1,5,0,40,29,3.22,4.4,,0
Tad Hudson,170107,QB,COAST CAR,1,9,4,0,0.0,0,0,16,0,0,3,20,166.7,2,2,141,1,0,71.4,61.8,24.7,61.5,,58.2,63.0,60.4,14,1,0,0,2,31,18,3,0,6,0,34,35,3.89,3.8,0.0,4
Cade McConnell,73935,QB,UTEP,4,9,1,0,0.0,0,0,3,0,0,0,9,0.0,1,1,330,3,3,31.2,53.3,46.5,59.8,,60.0,40.8,60.0,10,1,0,0,1,48,15,4,0,5,0,18,17,1.89,2.0,0.0,0
Jack Tuttle,83580,QB,MICHIGAN,2,9,3,0,0.0,0,0,13,0,0,0,2,0.0,1,2,222,3,2,20.7,29.1,79.1,33.9,,,32.4,60.0,13,0,0,0,0,54,33,6,0,3,0,46,40,4.44,5.1,,1
Trexler Ivey,122184,QB,CHARLOTTE,8,9,1,0,0.0,0,0,-18,0,0,0,0,0.0,1,1,136,0,0,72.7,55.5,79.8,52.8,,,63.4,60.0,10,0,0,0,0,69,13,2,0,7,0,-5,3,0.33,-0.6,,0
Chris Parson,172551,QB,MISS STATE,4,9,4,0,0.0,0,0,29,0,0,4,27,133.3,1,2,227,1,5,72.4,69.0,72.2,38.0,,,74.3,60.0,10,1,0,0,0,16,0,0,0,9,0,29,27,3.0,3.2,,3
Cameran Brown,184894,QB,TEXAS TECH,3,8,1,2,50.6,42,0,83,0,0,1,11,17.2,4,4,315,0,6,71.6,42.7,73.1,27.6,,60.0,69.0,60.0,22,0,0,0,1,11,0,0,0,8,0,83,11,1.38,10.4,0.0,2
Drew Devillier,190639,QB,RICE,3,8,3,0,0.0,0,0,17,0,0,0,4,0.0,1,0,275,1,0,41.1,53.8,35.9,51.5,,,63.5,60.0,10,2,0,0,0,52,16,3,0,5,0,33,42,5.25,4.1,,3
Garret Rangel,157795,QB,OKLA STATE,4,8,1,2,72.2,70,0,88,0,0,1,9,25.0,2,2,262,0,0,71.4,44.8,23.7,39.8,,,66.0,60.0,54,1,0,0,0,28,9,2,0,6,0,97,10,1.25,12.1,,4
EJ Colson,190335,QB,UCF,3,8,7,0,0.0,0,0,21,0,0,3,14,466.7,0,2,323,1,1,28.8,38.0,74.9,30.0,,,62.0,60.0,9,0,0,0,0,12,25,5,0,3,0,46,59,7.38,5.8,,2
Kyle Lowe,156595,QB,GA STATE,5,8,1,1,84.8,56,0,66,0,0,1,8,12.5,1,3,175,0,3,26.3,60.1,72.5,59.5,,,60.0,60.0,56,0,0,0,0,11,0,0,0,8,1,66,8,1.0,8.3,,4
Ken Seals,124359,QB,TCU,6,8,2,0,0.0,0,0,-1,0,0,1,11,22.4,0,0,305,1,2,26.8,51.4,75.4,67.6,,,42.3,60.0,7,0,0,0,0,31,7,1,0,7,0,6,25,3.13,0.8,,2
Ty Simpson,157008,QB,ALABAMA,6,8,1,2,62.7,32,0,38,0,0,1,10,20.4,3,4,103,0,1,71.5,74.9,77.0,67.3,,,74.2,60.0,17,0,0,0,0,42,13,1,0,7,1,51,12,1.5,6.4,,5
EJ Caminong,188167,QB,CAL,1,8,2,0,0.0,0,0,-5,0,0,0,2,0.0,1,2,130,2,0,27.6,33.9,74.3,28.9,,,61.6,60.0,12,0,0,0,0,8,36,5,0,3,0,31,38,4.75,3.9,,1
Connor Moberly,184835,QB,IOWA STATE,4,7,1,2,59.3,35,0,53,0,0,1,23,92.0,2,2,193,0,5,70.0,61.7,75.1,54.5,,54.3,67.1,60.0,18,0,0,0,1,26,6,2,0,5,0,59,25,3.57,8.4,0.0,0
Devin Brown,156479,QB,OHIO STATE,9,7,1,0,0.0,0,0,9,0,0,0,1,0.0,1,1,260,0,0,70.0,66.9,76.7,65.9,,,61.2,60.0,10,0,0,0,0,41,13,3,0,4,0,22,7,1.0,3.1,,2
PJ Hatter,172329,QB,TEXAS ST,1,7,0,0,0.0,0,0,45,0,0,0,22,0.0,2,3,314,0,1,71.3,74.5,70.4,,,,68.7,60.0,11,0,0,0,0,11,0,0,0,7,0,45,22,3.14,6.4,,3
Luke Bottari,73931,QB,UTAH,3,7,0,2,86.2,56,0,65,0,0,0,9,0.0,2,2,328,2,0,38.5,57.1,29.0,61.2,,,52.4,60.2,40,2,0,0,0,44,0,0,0,7,0,65,9,1.29,9.3,,3
Cole Ballard,173062,QB,KANSAS,3,7,4,0,0.0,0,0,29,0,0,4,17,188.9,2,3,198,0,3,70.4,66.7,73.7,62.9,,,64.1,60.0,14,0,0,0,0,21,6,1,0,6,0,35,17,2.43,5.0,,0
Cale Hellums,170981,QB,ARMY,3,7,0,0,0.0,0,0,28,0,0,0,14,0.0,1,2,114,0,3,71.3,68.4,70.1,,,,64.9,60.0,10,0,0,0,0,10,0,0,0,7,0,28,14,2.0,4.0,,4
Steve Angeli,156966,QB,NOTRE DAME,11,7,3,1,90.6,29,0,23,0,0,1,27,108.0,1,2,258,1,2,71.3,82.3,78.5,75.6,,,78.3,60.0,29,0,0,0,0,58,9,2,0,5,0,32,35,5.0,4.6,,0
Tucker McDonald,171056,QB,UCONN,3,7,0,0,0.0,0,0,1,0,0,0,3,0.0,0,1,146,0,0,71.1,63.2,73.6,62.2,,,60.4,60.0,9,0,0,0,0,24,0,0,0,7,0,1,3,0.43,0.1,,1
Dante Moore,173983,QB,OREGON,5,7,0,0,0.0,0,0,-10,0,0,0,0,0.0,0,0,264,0,0,70.5,58.4,74.0,57.7,,,59.3,60.1,6,0,0,0,0,18,6,1,0,6,0,-4,0,0.0,-0.6,,0
Daniel Beale,197861,QB,LA LAFAYET,3,7,1,0,0.0,0,0,0,0,0,0,3,0.0,0,0,207,0,0,69.8,44.7,76.3,50.4,,,44.4,60.0,9,1,0,0,0,20,14,5,0,2,0,14,10,1.43,2.0,,0
Trenton Bourguet,97285,QB,ARIZONA ST,2,6,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,110,0,0,70.4,65.2,71.0,62.9,,,62.0,60.0,-1,0,0,0,0,10,0,0,0,6,0,-6,0,0.0,-1.0,,0
Devin Kargman,156913,QB,KENT STATE,4,6,0,0,0.0,0,0,0,0,0,0,0,0.0,1,2,201,2,1,33.8,47.7,51.9,46.0,,59.9,65.2,60.2,12,2,0,0,1,67,14,2,0,4,0,14,2,0.33,2.3,0.0,0
