player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jackson Stratton,157206,QB,IOWA,3,6,1,0,0.0,0,0,-1,0,0,0,7,0.0,1,1,192,2,0,35.7,60.6,79.6,62.9,,60.0,49.9,60.0,14,1,0,0,1,88,16,2,0,4,0,15,29,4.83,2.5,0.0,1
John White,184784,QB,SO MISS,4,6,0,0,0.0,0,0,-20,0,0,0,2,0.0,0,1,296,4,2,22.3,38.9,77.5,51.3,,,27.3,60.0,7,0,0,0,0,38,10,3,0,3,1,-10,4,0.67,-1.7,,1
Cutter Boley,184630,QB,KENTUCKY,4,6,0,1,90.9,30,0,28,0,0,0,2,0.0,1,1,202,3,2,21.9,46.4,78.9,51.7,,,35.2,60.0,30,1,0,0,0,47,5,1,0,5,0,33,14,2.33,5.5,,0
Cade McNamara,101620,QB,IOWA,8,6,0,0,0.0,0,0,2,0,0,0,1,0.0,1,2,192,3,0,50.0,67.1,85.1,66.9,,,50.0,60.0,12,0,0,0,0,216,20,4,0,2,0,22,5,0.83,3.7,,0
Henry Hesson,145798,QB,MIAMI OH,5,6,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,221,0,0,68.4,36.7,77.1,38.2,,,47.2,60.0,9,0,0,0,0,47,24,5,0,1,0,22,13,2.17,3.7,,0
Elijah Brown,183276,QB,STANFORD,3,6,1,0,0.0,0,1,-8,0,0,0,0,0.0,0,0,300,1,1,45.1,33.4,32.3,39.5,,,39.6,60.0,7,2,0,0,0,23,18,5,0,1,0,10,18,3.0,1.7,,0
Harrison Bailey,124266,QB,LOUISVILLE,5,6,1,0,0.0,0,0,-5,0,0,0,0,0.0,1,1,210,0,0,70.5,76.3,31.9,77.9,,,61.7,60.0,13,1,0,0,0,53,17,2,0,4,0,12,14,2.33,2.0,,0
Braden Bohannon,160367,QB,KENNESAW,2,5,0,0,0.0,0,0,-11,0,0,0,3,0.0,0,0,200,2,3,23.1,32.0,72.8,46.4,,,36.7,60.0,4,1,0,0,0,9,4,1,0,4,0,-7,5,1.0,-1.4,,0
Cameron Rising,77663,QB,UTAH,3,5,0,0,0.0,0,0,0,0,0,0,,100.0,2,2,328,0,0,71.1,49.9,80.0,46.9,,,64.9,60.2,25,1,0,0,0,59,50,5,0,0,0,50,7,1.4,10.0,,0
John-Keawe Sagapolutele,175709,QB,HAWAII,5,5,0,0,0.0,0,0,-5,0,0,0,0,0.0,0,1,180,0,0,69.8,53.9,73.1,45.6,,,66.1,60.0,1,0,0,0,0,14,0,0,0,5,0,-5,0,0.0,-1.0,,0
D'Wanye Winfield,176367,QB,LA LAFAYET,1,5,1,0,0.0,0,0,19,0,0,1,8,32.0,0,2,207,0,1,69.6,83.3,69.1,58.9,,,76.0,,5,0,0,0,0,5,0,0,0,5,0,19,8,1.6,3.8,,4
Brady Lichtenberg,144226,QB,CINCINNATI,3,5,1,0,0.0,0,0,-4,0,0,0,2,0.0,0,0,138,1,2,22.5,41.8,73.9,44.3,,,51.4,60.0,5,0,0,0,0,20,2,1,0,4,0,-2,3,0.6,-0.4,,0
Trace Campbell,163649,QB,UAB,5,5,1,0,0.0,0,0,28,0,0,1,13,37.1,1,4,321,0,3,70.1,68.1,71.9,50.4,60.9,61.2,70.2,60.0,10,0,-5,2,2,6,0,0,2,7,0,28,13,2.6,5.6,-2.5,2
AJ Bianco,158232,QB,NEVADA,5,5,0,0,0.0,0,0,6,0,0,0,7,0.0,0,1,239,0,1,70.2,74.7,75.8,74.3,,54.6,65.0,60.0,9,0,0,0,2,19,5,2,0,3,0,11,7,1.4,2.2,0.0,0
Harrison Barker,121479,QB,UAB,4,5,0,0,0.0,0,0,33,0,0,0,13,0.0,2,2,321,1,2,21.1,55.7,73.2,64.0,,59.9,52.9,60.1,13,0,0,0,1,13,0,0,0,5,0,33,13,2.6,6.6,0.0,3
Jalen Macon,153929,QB,N ILLINOIS,1,5,0,0,0.0,0,0,16,0,0,0,5,0.0,0,1,254,0,2,68.3,79.1,72.5,75.2,,,68.3,60.0,9,0,0,0,0,8,11,2,0,3,1,27,13,2.6,5.4,,0
Walker White,184413,QB,AUBURN,1,5,0,0,0.0,0,0,10,0,0,0,7,0.0,0,1,115,1,3,19.9,31.4,72.2,36.2,,,47.6,60.0,8,0,0,0,0,13,6,1,0,4,0,16,8,1.6,3.2,,0
Raheim Jeter,169901,QB,E CAROLINA,2,5,1,0,,0,0,0,0,0,1,11,44.0,0,1,156,0,1,69.7,71.6,70.1,,,,66.0,60.0,7,0,0,0,0,10,0,0,0,5,0,0,11,2.2,0.0,,0
Jake Merklinger,184888,QB,TENNESSEE,2,5,0,1,80.0,24,0,27,0,0,0,7,0.0,1,1,307,0,0,69.3,64.9,74.5,64.8,,,60.2,60.0,24,0,0,0,0,24,3,1,0,4,0,30,7,1.4,6.0,,4
General Booty,71008,QB,LA MONROE,6,5,0,1,67.4,31,0,46,0,0,0,11,0.0,1,1,209,0,3,71.9,46.9,53.5,42.9,,,64.0,60.0,31,1,-7,1,0,106,0,0,1,6,0,46,11,2.2,9.2,,1
Cole Pennington,156787,QB,MARSHALL,3,5,0,0,0.0,0,0,1,0,0,0,2,0.0,0,0,214,0,0,69.1,52.9,73.5,48.5,,,61.4,60.0,6,0,0,0,0,16,4,1,0,4,0,5,3,0.6,1.0,,1
Justyn Martin,162461,QB,UCLA,3,5,1,0,0.0,0,0,10,0,0,0,4,0.0,0,2,324,1,0,35.1,67.7,77.1,67.5,,,60.0,60.0,8,0,0,0,0,30,11,3,0,2,0,21,18,3.6,4.2,,2
Khalib Johnson,156331,QB,KENNESAW,4,4,0,0,0.0,0,0,8,0,0,0,5,0.0,0,0,200,3,3,18.0,25.5,22.9,26.2,,,44.1,60.0,8,2,0,0,0,40,8,1,0,3,0,16,5,1.25,4.0,,0
Jack Shields,156830,QB,BUFFALO,3,4,0,0,0.0,0,0,8,0,0,0,6,0.0,0,0,126,0,3,68.6,56.8,69.8,,,,57.7,60.0,7,0,0,0,0,9,0,0,0,4,0,8,6,1.5,2.0,,0
Rickie Collins,172474,QB,LSU,3,4,4,0,0.0,0,0,3,0,0,0,5,0.0,1,1,211,0,0,66.2,65.8,72.4,73.0,,,56.7,60.0,11,0,0,0,0,11,15,3,0,1,0,18,22,5.5,4.5,,1
Jacobe Robinson,174006,QB,BOSTON COL,2,4,1,0,0.0,0,0,12,0,0,1,5,55.6,0,1,121,2,2,67.8,65.5,74.2,74.1,,,55.0,60.0,9,0,0,0,0,28,1,1,0,3,1,13,11,2.75,3.3,,1
Max Johnson,124099,QB,N CAROLINA,1,4,2,0,0.0,0,0,0,0,0,0,0,0.0,1,2,245,0,1,27.6,47.0,75.7,42.8,,,62.3,60.0,16,0,0,0,0,23,20,3,0,1,1,20,7,1.75,5.0,,0
Gaston Moore,123756,QB,TENNESSEE,6,4,1,1,107.1,15,0,12,0,0,1,11,122.2,1,1,307,1,1,28.2,70.0,78.2,74.1,,,46.8,60.0,15,0,0,0,0,62,2,1,0,3,0,14,12,3.0,3.5,,1
Austin Simmons,175891,QB,OLE MISS,9,4,0,0,0.0,0,0,12,0,0,0,5,0.0,0,0,226,0,3,70.1,82.5,77.5,81.2,,,65.2,60.2,9,0,0,0,0,44,9,1,0,3,0,21,5,1.25,5.3,,0
Aidan Warner,177520,QB,FLORIDA,6,4,0,0,0.0,0,0,6,0,0,0,12,0.0,0,1,163,0,1,71.1,43.4,18.7,44.7,,,54.8,60.2,9,2,0,0,0,81,3,1,0,3,1,9,12,3.0,2.3,,2
Dylan Morris,100570,QB,JAMES MAD,4,4,0,0,0.0,0,0,-8,0,0,0,0,0.0,0,0,197,1,1,67.5,58.2,72.5,56.1,,,60.0,60.1,-1,0,0,0,0,18,0,0,0,4,0,-8,0,0.0,-2.0,,0
Davis Beville,99588,QB,S CAROLINA,3,4,0,0,0.0,0,0,15,0,0,0,3,0.0,1,2,289,0,0,69.1,69.3,73.6,60.8,,,69.3,60.0,10,0,0,0,0,20,0,0,0,4,0,15,3,0.75,3.8,,1
Shay Smith,188323,QB,UTEP,3,4,0,0,0.0,0,0,1,0,0,0,2,0.0,0,1,330,1,3,17.9,37.6,69.1,60.2,,,43.5,,3,0,0,0,0,4,0,0,0,4,1,1,2,0.5,0.3,,1
Michael Kern,97799,QB,WAKE,6,4,1,0,0.0,0,0,5,0,0,0,7,0.0,0,1,339,1,1,40.9,65.3,78.2,65.4,,,56.7,60.0,8,0,0,0,0,42,10,2,0,2,0,15,13,3.25,3.8,,0
Jackson Gutierrez,189488,QB,NAVY,1,4,0,0,0.0,0,0,18,0,0,0,12,0.0,0,1,237,1,3,68.6,76.3,70.1,60.0,,,71.3,60.0,7,0,0,0,0,9,0,0,0,4,0,18,12,3.0,4.5,,1
Reese Poffenbarger,145346,QB,MIAMI FL,4,3,0,0,0.0,0,0,20,0,0,0,7,0.0,1,3,220,1,0,20.3,61.2,74.2,43.6,,,74.9,60.0,11,0,0,0,0,23,9,1,0,2,0,29,23,7.67,9.7,,2
Jake Jensen,147512,QB,USC,2,3,0,0,0.0,0,0,-5,0,0,0,1,0.0,0,0,326,0,0,67.3,60.0,66.6,,,,59.9,,-1,0,0,0,0,3,0,0,0,3,0,-5,1,0.33,-1.7,,1
Trent Pearman,156233,QB,CLEMSON,3,3,1,0,0.0,0,0,16,0,0,1,11,122.2,0,0,140,0,1,67.9,67.2,71.8,57.7,,,67.9,60.0,9,1,0,0,0,11,0,0,0,3,0,16,11,3.67,5.3,,1
Pierce Clarkson,174699,QB,LOUISVILLE,2,3,1,0,0.0,0,0,14,0,0,1,7,77.8,0,1,210,0,2,67.9,67.8,70.7,59.0,,,67.0,60.0,9,0,0,0,0,7,0,0,0,3,0,14,7,2.33,4.7,,1
Blake Kendall,156711,QB,JAMES MAD,2,3,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,197,0,0,67.3,62.1,67.4,,,,60.8,60.0,-2,0,0,0,0,4,0,0,0,3,0,-6,0,0.0,-2.0,,0
Hank Brown,172439,QB,AUBURN,4,3,1,0,0.0,0,0,7,0,0,0,6,0.0,0,1,115,0,1,70.2,59.6,30.3,59.9,,,60.3,60.3,9,1,0,0,0,48,3,1,0,2,0,10,16,5.33,3.3,,1
Alberto Mendoza,188673,QB,INDIANA,1,3,0,0,0.0,0,0,-7,0,0,0,2,0.0,0,0,190,0,0,66.2,52.7,71.2,61.0,,,53.6,60.0,2,0,0,0,0,12,2,1,0,2,0,-5,9,3.0,-1.7,,1
Billy Atkins,148354,QB,JAMES MAD,3,3,1,0,0.0,0,0,4,0,0,1,5,55.6,0,0,197,0,0,70.4,83.7,77.3,86.1,,54.3,62.4,60.3,3,0,0,0,1,46,0,0,0,3,0,4,5,1.67,1.3,0.0,2
Ajani Sheppard,170317,QB,RUTGERS,3,3,2,1,83.3,20,0,20,0,0,2,11,550.0,1,1,278,0,1,67.1,63.8,73.0,53.9,,,64.6,60.0,20,0,0,0,0,22,4,1,0,2,0,24,14,4.67,8.0,,1
Jeremiah Salem,157478,QB,E MICHIGAN,3,3,0,0,0.0,0,0,2,0,0,0,0,0.0,0,0,160,0,1,68.2,54.4,74.8,51.0,,,61.8,60.0,5,0,0,0,0,23,1,1,0,2,0,3,0,0.0,1.0,,0
Ryan Hilinski,71295,QB,NWESTERN,4,3,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,256,1,0,25.0,44.6,74.2,52.9,,,46.5,60.0,0,1,0,0,0,14,0,0,0,3,0,-2,0,0.0,-0.7,,0
Jacob Knuth,157493,QB,KANSAS ST,2,3,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,199,1,0,12.1,37.5,71.2,62.6,,,42.0,60.0,10,0,0,0,0,9,14,3,0,0,0,14,7,2.33,4.7,,0
Jacob Conover,70963,QB,UTAH ST,2,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,329,1,0,17.5,32.6,70.1,47.1,,,44.6,60.0,4,0,0,0,0,4,4,1,0,2,0,1,3,1.0,0.3,,1
Tommy Schuster,108954,QB,MICH STATE,5,3,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,2,223,1,0,31.1,62.2,76.7,57.7,,,69.5,60.0,5,0,0,0,0,27,5,1,0,2,1,4,0,0.0,1.3,,0
Kenny Minchey,171091,QB,NOTRE DAME,1,2,1,0,0.0,0,0,12,0,0,1,10,250.0,0,2,258,0,1,66.2,67.0,67.4,51.8,,,68.6,,7,0,0,0,0,2,0,0,0,2,1,12,10,5.0,6.0,,1
Jacob Winters,171368,QB,OHIO,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,259,0,0,65.5,61.7,68.6,,,,60.1,60.0,0,0,0,0,0,6,0,0,0,2,0,-2,0,0.0,-1.0,,0
Ryan Staub,171906,QB,COLORADO,4,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,143,1,0,64.2,33.1,72.4,33.9,,,52.6,60.0,9,0,0,0,0,13,12,2,0,0,0,12,0,0.0,6.0,,0
Dylan Lonergan,172386,QB,ALABAMA,2,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,1,1,103,0,0,65.9,67.5,73.1,60.8,,,65.4,60.0,16,0,0,0,0,18,16,1,0,1,0,13,0,0.0,6.5,,0
Ben Locklear,144088,QB,VA TECH,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,337,0,0,65.5,61.1,66.6,,,,60.1,60.0,-1,0,0,0,0,3,0,0,0,2,0,-2,0,0.0,-1.0,,0
Ui Ale,173036,QB,HOUSTON,2,2,1,0,0.0,0,0,4,0,0,1,8,200.0,0,0,182,0,1,68.0,73.6,72.7,77.1,,,55.5,60.0,3,0,0,0,0,8,0,0,0,2,0,4,8,4.0,2.0,,0
Destin Wade,163784,QB,COLORADO,1,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,143,0,0,65.5,60.9,65.5,,,,60.1,,-2,0,0,0,0,2,0,0,0,2,0,-4,0,0.0,-2.0,,0
Turner Helton,163044,QB,W KENTUCKY,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,346,0,0,65.5,62.4,70.1,,,,60.1,60.0,-1,0,0,0,0,10,0,0,0,2,0,-2,0,0.0,-1.0,,0
Stephen Kittleman,126906,QB,TULSA,2,2,0,0,0.0,0,0,11,0,0,0,5,0.0,0,1,320,0,0,66.4,75.5,68.1,75.7,,,62.2,,9,0,0,0,0,2,0,0,0,2,1,11,5,2.5,5.5,,2
Austin Novosad,174133,QB,OREGON,3,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,264,0,0,66.2,72.8,71.6,72.1,,,60.1,60.0,-2,0,0,0,0,14,0,0,0,2,0,-4,0,0.0,-2.0,,0
Mikey Pauley,162835,QB,KANSAS,1,2,0,0,0.0,0,0,17,0,0,0,7,0.0,1,2,198,0,0,65.5,77.9,69.8,,,,69.6,60.0,10,0,0,0,0,9,0,0,0,2,0,17,7,3.5,8.5,,0
Travis Egan,174701,QB,LOUISVILLE,3,2,0,0,0.0,0,0,11,0,0,0,8,0.0,0,0,210,0,1,65.5,65.4,66.3,,,,62.6,60.0,9,0,0,0,0,3,0,0,0,2,0,11,8,4.0,5.5,,1
Teddy Purcell,162500,QB,WASHINGTON,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,340,0,0,65.5,60.9,65.5,,,,60.1,,-1,0,0,0,0,2,0,0,0,2,0,-2,0,0.0,-1.0,,0
Jaxon Potter,176687,QB,WASH STATE,1,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,341,0,0,66.6,80.9,71.0,81.3,,,60.1,60.0,-2,0,0,0,0,9,0,0,0,2,0,-4,0,0.0,-2.0,,0
Julian Sayin,183708,QB,OHIO STATE,4,2,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,260,0,0,66.2,58.3,73.4,55.4,,,62.5,60.0,19,0,0,0,0,13,24,2,0,0,0,24,2,1.0,12.0,,0
Ta'Quan Roberson,101625,QB,KANSAS ST,6,2,0,0,0.0,0,0,6,0,0,0,2,0.0,0,0,199,0,0,67.1,54.4,73.6,53.7,,,58.2,60.0,7,0,0,0,0,21,0,0,0,2,0,6,2,1.0,3.0,,1
Holden Geriner,157045,QB,AUBURN,2,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,115,0,0,64.8,69.0,71.0,74.2,,,57.6,60.0,6,0,0,0,0,10,6,1,0,1,0,4,1,0.5,2.0,,0
Michael Johnson Jr.,97796,QB,SYRACUSE,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,304,0,0,64.6,62.7,70.7,71.6,,,52.9,60.0,4,0,0,0,0,5,8,2,0,0,0,8,2,1.0,4.0,,0
Lex Thomas,170381,QB,NC STATE,2,2,1,0,0.0,0,0,8,0,0,1,10,250.0,0,1,248,0,1,67.2,60.7,73.3,54.1,,,64.7,60.0,9,0,0,0,0,18,0,0,0,2,0,8,10,5.0,4.0,,0
Grayson Loftis,170054,QB,DUKE,2,2,0,0,0.0,0,0,4,0,0,0,4,0.0,0,1,154,0,1,65.5,70.4,65.5,,,,65.5,,5,0,0,0,0,2,0,0,0,2,0,4,4,2.0,2.0,,1
Brody Rhodes,143927,QB,GA TECH,1,2,0,0,0.0,0,0,17,0,0,0,6,0.0,0,1,176,0,2,65.5,76.3,66.6,,,,68.8,60.0,9,0,0,0,0,3,0,0,0,2,0,17,6,3.0,8.5,,0
Jayden Mandal,173516,QB,FRESNO ST,5,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,169,0,0,67.0,39.8,74.3,35.9,,,60.0,60.0,3,0,0,0,0,20,3,1,0,0,0,3,2,2.0,3.0,,0
Jackson Brousseau,173480,QB,COLO STATE,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,144,0,0,64.6,44.4,71.0,46.3,,,57.3,60.0,8,0,0,0,0,6,8,1,0,0,0,8,0,0.0,8.0,,0
Jalyn Gramstad,180656,QB,NEBRASKA,1,1,1,0,0.0,0,0,0,0,0,0,,100.0,0,0,238,0,0,63.3,47.3,69.5,52.0,,,56.2,60.0,2,0,0,0,0,4,2,1,0,0,0,2,2,2.0,2.0,,0
William Fierro,183249,QB,SMU,1,1,0,0,0.0,0,0,3,0,0,0,1,0.0,0,0,287,0,0,62.5,56.6,62.7,,,,57.9,,3,0,0,0,0,1,0,0,0,1,0,3,1,1.0,3.0,,1
Navy Shuler,122254,QB,TENNESSEE,2,1,1,0,0.0,0,0,6,0,0,1,8,800.0,0,0,307,0,0,65.2,55.4,70.7,46.3,,,63.5,60.0,6,0,0,0,0,8,0,0,0,1,0,6,8,8.0,6.0,,1
Kirkland Michaux,158218,QB,ILLINOIS,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,187,0,0,62.5,60.0,63.6,,,,60.0,,-1,0,0,0,0,1,0,0,0,1,0,-1,0,0.0,-1.0,,0
Trever Jackson,183303,QB,FLORIDA ST,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,167,0,1,62.5,59.1,63.6,,,,59.7,,2,0,0,0,0,1,0,0,0,1,0,2,1,1.0,2.0,,0
Michael Merdinger,183334,QB,N CAROLINA,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,245,1,0,20.6,47.1,0.0,49.2,,,60.0,60.7,1,1,0,0,0,11,0,0,0,1,0,1,1,1.0,1.0,,0
Deuce Hogan,129470,QB,NEW MEX ST,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,1,0,242,0,0,67.6,56.1,74.7,57.0,,,57.8,60.0,13,1,0,0,0,14,13,1,0,0,0,13,3,3.0,13.0,,0
Colt Fulton,145981,QB,BOISE ST,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,120,0,0,62.5,60.0,63.6,,,,60.0,,-2,0,0,0,0,1,0,0,0,1,0,-2,0,0.0,-2.0,,0
Nate Hampton,147548,QB,LIBERTY,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,206,0,0,65.4,43.9,72.7,44.8,,,57.0,60.0,7,0,0,0,0,12,7,1,0,0,0,7,3,3.0,7.0,,0
David Lynch,170120,QB,PITTSBURGH,3,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,268,0,0,68.5,39.6,76.2,40.0,,,56.3,60.0,2,0,0,0,0,25,2,1,0,0,0,2,2,2.0,2.0,,0
Giles Pooler,146019,QB,COLO STATE,1,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,144,0,0,62.5,60.0,63.6,,,,60.0,,-1,0,0,0,0,1,0,0,0,1,0,-1,0,0.0,-1.0,,0
Mabrey Mettauer,183668,QB,WISCONSIN,3,1,1,0,0.0,0,0,0,0,0,0,,100.0,0,0,349,0,0,61.8,58.3,71.6,60.6,,,57.8,60.0,2,0,0,0,0,14,2,1,0,0,0,2,12,12.0,2.0,,0
JR Blood,104782,QB,MISSOURI,1,1,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,229,0,1,62.5,53.9,65.5,,,,57.5,60.0,-1,0,0,0,0,2,0,0,0,1,0,-1,1,1.0,-1.0,,0
Roman Gagliano,183961,QB,MIDDLE TN,3,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,224,1,0,65.8,55.9,72.0,47.6,,,64.3,60.0,9,0,0,0,0,5,9,1,0,0,0,9,1,1.0,9.0,,0
CJ Carr,184093,QB,NOTRE DAME,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,258,0,0,62.5,60.1,67.4,,,,60.0,60.0,-2,0,0,0,0,4,0,0,0,1,0,-2,0,0.0,-2.0,,0
Deuce Adams,190581,QB,LOUISVILLE,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,210,0,0,62.5,58.8,63.6,,,,59.6,,1,0,0,0,0,1,0,0,0,1,0,1,1,1.0,1.0,,1
Will Perry,184159,QB,UMASS,1,1,0,0,0.0,0,1,0,0,0,0,,100.0,0,0,216,0,0,65.8,65.7,0.0,72.4,,,57.3,,2,1,0,0,0,0,2,1,0,0,0,2,0,0.0,2.0,,0
Tyler Budge,184278,QB,GA SOUTHRN,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,174,0,0,60.3,70.5,66.6,,,,64.3,60.0,9,0,0,0,0,2,9,1,0,0,0,9,5,5.0,9.0,,0
Dematrius Davis,146660,QB,UTSA,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,0,0,331,0,0,62.5,56.8,66.8,,70.2,58.6,58.2,,3,0,0,0,2,1,0,0,0,1,0,3,0,0.0,3.0,0.0,1
Landry Lyddy,156581,QB,UAB,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,1,1,321,0,0,64.2,65.6,69.8,58.0,,,64.9,60.0,11,0,0,0,0,3,11,1,0,0,0,11,3,3.0,11.0,,0
KJ Jackson,184386,QB,ARKANSAS,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,111,0,0,63.8,82.4,70.1,89.5,,,57.0,60.0,3,0,0,0,0,5,3,1,0,0,0,3,3,3.0,3.0,,0
Trey Owens,184514,QB,TEXAS,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,311,0,0,63.8,72.6,73.5,78.3,,,57.3,60.0,3,0,0,0,0,22,3,1,0,0,0,3,2,2.0,3.0,,0
Arrington Maiden,184715,QB,MEMPHIS,1,1,1,0,0.0,0,0,-3,0,0,1,2,200.0,0,0,218,0,1,62.5,59.0,63.6,,,,59.6,,-3,0,0,0,0,1,0,0,0,1,0,-3,2,2.0,-3.0,,0
Drake Lindsey,184727,QB,MINNESOTA,4,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,225,0,0,64.2,71.5,73.2,78.1,,58.8,57.3,60.0,6,0,0,0,2,12,6,1,0,0,0,6,0,0.0,6.0,0.0,0
Paul Tyson,98363,QB,CLEMSON,2,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,140,0,0,62.5,60.2,67.4,,,,60.0,60.0,-1,0,0,0,0,4,0,0,0,1,0,-1,0,0.0,-1.0,,0
Nate Bennett,184815,QB,BAYLOR,3,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,118,0,0,64.4,72.6,69.5,71.9,,,60.0,60.0,-2,0,0,0,0,6,0,0,0,1,0,-2,0,0.0,-2.0,,0
Casey Thompson,77677,QB,OKLAHOMA,1,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,261,0,0,62.5,60.0,63.6,,,,60.0,,-3,0,0,0,0,1,0,0,0,1,0,-3,0,0.0,-3.0,,0
Harris Boyd,169933,QB,MEMPHIS,3,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,1,218,0,0,63.7,69.8,69.5,60.6,,,63.2,60.0,4,0,0,0,0,7,0,0,0,1,1,4,1,1.0,4.0,,1
Mason Maggs,162872,QB,OHIO STATE,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,260,0,1,62.5,57.5,63.8,,,,58.5,,3,0,0,0,0,1,0,0,0,1,0,3,2,2.0,3.0,,0
Malachi Nelson,174203,QB,BOISE ST,3,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,120,0,0,67.8,80.4,76.2,80.1,,,60.0,60.0,-2,0,0,0,0,37,0,0,0,1,0,-2,0,0.0,-2.0,,0
Anthony Garcia,174863,QB,ARIZONA,1,1,0,0,0.0,0,0,1,0,0,0,3,0.0,0,0,109,0,1,62.5,59.0,63.6,,,,59.6,,1,0,0,0,0,1,0,0,0,1,0,1,3,3.0,1.0,,0
Lincoln Kienholz,170256,QB,OHIO STATE,2,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,260,0,0,62.5,61.2,69.5,,,,60.0,60.0,-3,0,0,0,0,8,0,0,0,1,0,-3,0,0.0,-3.0,,0
Christian Gelov,123074,QB,PURDUE,1,1,0,0,0.0,0,0,12,0,0,0,3,0.0,1,1,273,0,0,64.8,92.0,68.6,90.8,,,61.4,60.0,12,0,0,0,0,3,0,0,0,1,0,12,3,3.0,12.0,,1
Cole Tannenbaum,158746,QB,ARIZONA,4,1,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,109,1,1,63.8,43.0,72.4,42.4,,,60.0,60.0,-4,0,0,0,0,15,0,0,0,1,0,-4,0,0.0,-4.0,,0
Isaiah Chavez,128257,QB,NEW MEXICO,3,1,0,0,0.0,0,0,1,0,0,0,3,0.0,0,0,241,0,1,66.7,55.5,69.4,,62.2,,57.1,60.0,1,0,0,0,0,4,0,0,0,1,0,1,3,3.0,1.0,,0
Gunnar Gray,171202,QB,BUFFALO,4,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,126,0,0,66.7,43.1,0.0,45.1,,,60.0,60.0,-2,1,0,0,0,16,0,0,0,1,0,-2,0,0.0,-2.0,,0
Zion Turner,158636,QB,JVILLE ST,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,196,0,1,63.7,45.5,66.6,48.5,,,59.4,60.0,3,0,0,0,0,2,0,0,0,1,0,3,2,2.0,3.0,,0
