team,playerid,name,conference,fumbles_fum,fumbles_lost,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns
Air Force,5151904,John Busha,Mountain West,4.0,2.0,79,29.0,5.0,0.367,1.0,415.0,5.3,78.0,12.0,1.0,172.0,2.2,0.1973,0.5753,0.1131,0.1604,0.182,0.251,0.151,0.303,-0.006,-0.146,0.154,-0.205,-0.083,0.025,0.051,-0.096
Akron,4431091,Ben Finley,Mid-American,5.0,2.0,387,211.0,9.0,0.545,16.0,2581.0,6.7,80.0,33.0,0.0,51.0,0.6,0.5716,0.8555,0.1881,0.5369,0.552,0.689,0.395,0.723,0.283,0.319,0.054,0.086,0.28,0.646,0.132,0.488
Alabama,4432734,Jalen Milroe,SEC,9.0,6.0,319,205.0,11.0,0.643,16.0,2844.0,8.9,168.0,72.0,20.0,726.0,4.3,0.6280,0.9523,0.3670,0.5501,0.594,0.866,0.511,0.850,0.549,0.466,0.724,0.405,0.291,1.053,0.453,0.716
App State,5151948,Joey Aguilar,Sun Belt,3.0,1.0,390,218.0,14.0,0.559,23.0,3002.0,7.7,58.0,49.0,2.0,217.0,3.7,0.4994,0.8622,0.1132,0.4106,0.516,0.657,0.425,0.657,0.446,0.445,0.447,0.037,0.414,1.002,0.266,0.696
Arizona,4801717,Noah Fifita,Big 12,2.0,2.0,430,260.0,12.0,0.605,18.0,2958.0,6.9,66.0,24.0,1.0,17.0,0.3,0.6706,1.0304,0.1279,0.5556,0.704,0.853,0.578,0.844,0.331,0.316,0.516,0.078,0.165,0.902,0.128,0.587
Arizona State,5078810,Sam Leavitt,Big 12,3.0,1.0,350,216.0,6.0,0.617,24.0,2885.0,8.2,110.0,40.0,5.0,443.0,4.0,0.5000,0.9665,0.1779,0.4316,0.545,0.577,0.412,0.691,0.529,0.529,0.54,0.427,0.392,0.891,0.392,0.752
Arkansas,4431325,Taylen Green,SEC,8.0,4.0,381,230.0,9.0,0.604,15.0,3153.0,8.3,156.0,41.0,8.0,602.0,3.9,0.6207,0.9567,0.3007,0.5671,0.620,0.750,0.475,0.795,0.457,0.453,0.471,0.257,0.467,0.764,0.291,0.711
Arkansas State,5080403,Jaylen Raynor,Sun Belt,5.0,2.0,420,259.0,10.0,0.617,16.0,2783.0,6.6,137.0,40.0,3.0,387.0,2.8,0.6207,0.9831,0.2388,0.5177,0.634,0.815,0.549,0.820,0.292,0.31,0.212,-0.015,0.287,0.56,0.193,0.441
Army,4879928,Bryson Daily,American Athletic,5.0,1.0,103,54.0,4.0,0.524,9.0,1007.0,9.8,311.0,42.0,32.0,1653.0,5.3,0.5034,0.8750,0.4417,0.4201,0.510,0.641,0.619,0.552,0.583,0.575,0.586,0.554,0.446,0.694,0.638,0.419
Auburn,4430590,Payton Thorne,SEC,2.0,1.0,317,199.0,9.0,0.628,21.0,2713.0,8.6,112.0,31.0,2.0,283.0,2.5,0.5820,0.9130,0.2387,0.5393,0.571,0.671,0.508,0.714,0.485,0.547,0.24,0.239,0.551,0.667,0.446,0.555
BYU,5150611,Jake Retzlaff,Big 12,7.0,3.0,367,211.0,12.0,0.575,19.0,2896.0,7.9,100.0,29.0,6.0,417.0,4.2,0.5839,1.0051,0.2154,0.5876,0.539,0.675,0.455,0.670,0.387,0.389,0.382,0.205,0.521,0.622,0.307,0.532
Ball State,5091890,Kadin Semonza,Mid-American,5.0,2.0,427,275.0,10.0,0.644,25.0,2900.0,6.8,54.0,53.0,1.0,-81.0,-1.5,0.6157,1.0108,0.0776,0.5653,0.548,0.813,0.513,0.759,0.347,0.355,0.19,0.203,0.122,0.766,0.211,0.556
Baylor,4432759,Sawyer Robertson,Big 12,1.0,0.0,368,229.0,8.0,0.622,28.0,3071.0,8.3,63.0,45.0,4.0,230.0,3.7,0.5039,0.9415,0.1137,0.4765,0.493,0.556,0.420,0.616,0.568,0.572,0.542,0.322,0.633,0.993,0.474,0.748
Boise State,4870513,Maddux Madsen,Mountain West,1.0,0.0,396,247.0,6.0,0.624,23.0,3018.0,7.6,57.0,49.0,5.0,221.0,3.9,0.4948,1.0047,0.0948,0.3927,0.488,0.709,0.430,0.712,0.572,0.541,0.832,0.413,0.455,0.767,0.62,0.504
Boston College,4567707,Grayson James,ACC,4.0,1.0,166,106.0,2.0,0.639,6.0,1202.0,7.2,37.0,20.0,3.0,79.0,2.1,0.2529,0.5153,0.0641,0.1361,0.290,0.379,0.251,0.412,0.373,0.351,0.496,-0.163,0.25,0.977,0.192,0.584
Bowling Green,4426444,Connor Bazelak,Mid-American,4.0,1.0,402,269.0,5.0,0.669,18.0,3044.0,7.6,48.0,19.0,2.0,-91.0,-1.9,0.5592,0.9910,0.0777,0.4894,0.580,0.684,0.539,0.670,0.406,0.405,0.428,0.276,0.472,0.497,0.368,0.467
California,4837248,Fernando Mendoza,ACC,2.0,0.0,386,265.0,6.0,0.687,16.0,3004.0,7.8,87.0,50.0,2.0,105.0,1.2,0.5524,0.8598,0.1409,0.5200,0.496,0.691,0.463,0.638,0.425,0.418,0.53,0.307,0.292,0.695,0.375,0.498
Central Michigan,4683291,Joey Labas,Mid-American,1.0,0.0,160,94.0,7.0,0.588,7.0,1114.0,7.0,21.0,13.0,0.0,19.0,0.9,0.2588,0.5418,0.0386,0.2130,0.261,0.348,0.236,0.327,0.222,0.215,0.3,0.306,0.092,0.265,0.238,0.2
Charlotte,5138131,Deshawn Purdie,American Athletic,7.0,4.0,200,100.0,6.0,0.5,10.0,1802.0,9.0,41.0,19.0,1.0,-130.0,-3.2,0.5992,1.0851,0.0852,0.5607,0.528,0.781,0.500,0.698,0.276,0.306,-0.124,0.084,0.29,0.283,0.333,0.188
Cincinnati,4899046,Brendan Sorsby,Big 12,3.0,3.0,389,249.0,7.0,0.64,18.0,2813.0,7.2,106.0,41.0,9.0,445.0,4.2,0.6389,1.0220,0.2549,0.5459,0.668,0.813,0.619,0.808,0.439,0.39,0.637,0.219,0.517,0.827,0.277,0.711
Clemson,4685413,Cade Klubnik,ACC,7.0,1.0,486,308.0,6.0,0.634,36.0,3639.0,7.5,119.0,55.0,7.0,462.0,3.9,0.6182,0.9292,0.2360,0.5785,0.610,0.747,0.562,0.720,0.443,0.439,0.463,0.126,0.566,0.787,0.242,0.829
Coastal Carolina,4832918,Ethan Vasko,Sun Belt,2.0,1.0,271,148.0,8.0,0.546,14.0,2120.0,7.8,107.0,29.0,5.0,447.0,4.2,0.4799,0.7978,0.2309,0.4100,0.424,0.699,0.480,0.570,0.451,0.444,0.47,0.288,0.426,0.611,0.413,0.515
Colorado,4432762,Shedeur Sanders,Big 12,4.0,1.0,477,353.0,10.0,0.74,37.0,4134.0,8.7,100.0,17.0,4.0,-50.0,-0.5,0.7503,1.0589,0.2267,0.6911,0.766,0.865,0.649,0.919,0.523,0.538,0.405,0.248,0.546,0.954,0.429,0.679
Colorado State,4833597,Brayden Fowler-Nicolosi,Mountain West,4.0,1.0,374,227.0,8.0,0.607,14.0,2755.0,7.4,43.0,23.0,4.0,80.0,1.9,0.5065,0.9974,0.0998,0.3733,0.530,0.729,0.395,0.763,0.419,0.471,-0.013,0.164,0.229,0.708,0.244,0.612
Duke,4685497,Maalik Murphy,ACC,2.0,1.0,421,254.0,12.0,0.603,26.0,2932.0,7.0,19.0,8.0,2.0,-79.0,-4.2,0.5422,0.9383,0.0407,0.4580,0.547,0.719,0.537,0.664,0.48,0.488,0.252,0.444,0.601,0.414,0.335,0.699
East Carolina,4795295,Katin Houser,American Athletic,4.0,1.0,245,149.0,11.0,0.608,18.0,2006.0,8.2,49.0,35.0,4.0,170.0,3.5,0.3195,0.5415,0.1077,0.3067,0.257,0.412,0.287,0.372,0.636,0.657,0.537,0.452,0.44,1.107,0.549,0.801
Eastern Michigan,4570057,Cole Snyder,Mid-American,6.0,3.0,402,239.0,9.0,0.595,15.0,2676.0,6.7,136.0,29.0,4.0,322.0,2.4,0.5937,0.9206,0.2437,0.5710,0.578,0.684,0.505,0.708,0.274,0.3,0.169,-0.024,0.259,0.789,0.101,0.566
Florida,5079555,D.J. Lagway,SEC,1.0,0.0,192,115.0,9.0,0.599,12.0,1915.0,10.0,51.0,22.0,0.0,101.0,2.0,0.6400,1.2022,0.1781,0.5215,0.622,0.951,0.522,0.891,0.444,0.512,0.069,0.453,0.383,0.55,0.421,0.478
Florida Atlantic,4700135,Cam Fancher,American Athletic,4.0,2.0,212,126.0,6.0,0.594,6.0,1528.0,7.2,99.0,76.0,3.0,365.0,3.7,0.3967,0.6432,0.1848,0.3208,0.409,0.526,0.347,0.524,0.282,0.23,0.507,0.274,0.261,0.379,0.116,0.514
Florida International,5085337,Keyone Jenkins,Conference USA,9.0,3.0,304,188.0,8.0,0.618,22.0,2557.0,8.4,75.0,34.0,2.0,130.0,1.7,0.5618,0.9796,0.1906,0.5257,0.531,0.692,0.503,0.648,0.411,0.508,-0.034,0.456,0.377,0.414,0.365,0.493
Florida State,4429020,D.J. Uiagalelei,ACC,1.0,0.0,156,84.0,6.0,0.538,4.0,1065.0,6.8,37.0,13.0,0.0,-8.0,-0.2,0.2697,0.4300,0.0795,0.2148,0.267,0.350,0.290,0.313,0.196,0.204,0.142,-0.015,0.186,0.525,-0.099,0.601
Fresno State,4597499,Mikey Keene,Mountain West,5.0,1.0,392,276.0,11.0,0.704,18.0,2887.0,7.4,47.0,14.0,0.0,-192.0,-4.1,0.5705,0.9535,0.0771,0.4931,0.548,0.761,0.442,0.759,0.275,0.356,-0.651,-0.06,0.422,0.629,0.126,0.489
Georgia,4430841,Carson Beck,SEC,7.0,3.0,448,290.0,12.0,0.647,28.0,3485.0,7.8,55.0,14.0,1.0,71.0,1.3,0.5474,0.8950,0.1167,0.5034,0.537,0.683,0.502,0.652,0.443,0.488,0.013,0.273,0.485,0.601,0.355,0.618
Georgia Southern,4685345,JC French,Sun Belt,9.0,4.0,410,269.0,11.0,0.656,17.0,2831.0,6.9,118.0,19.0,2.0,238.0,2.0,0.6237,0.9632,0.2464,0.5414,0.611,0.810,0.611,0.730,0.319,0.324,0.299,0.095,0.142,0.736,0.279,0.391
Georgia State,4432612,Christian Veilleux,Sun Belt,2.0,2.0,291,166.0,11.0,0.57,13.0,2047.0,7.0,28.0,23.0,1.0,74.0,2.6,0.4112,0.6688,0.0592,0.3966,0.350,0.557,0.308,0.496,0.333,0.341,0.208,0.149,0.553,0.542,0.049,0.783
Georgia Tech,4428993,Haynes King,ACC,6.0,2.0,269,196.0,2.0,0.729,14.0,2114.0,7.9,126.0,30.0,11.0,577.0,4.6,0.4754,0.6923,0.2866,0.4025,0.520,0.571,0.508,0.565,0.488,0.578,0.298,0.319,0.467,0.665,0.372,0.717
Hawai'i,4709977,Brayden Schager,Mountain West,3.0,1.0,404,233.0,13.0,0.577,19.0,2591.0,6.4,135.0,46.0,6.0,267.0,2.0,0.6827,0.8782,0.3581,0.6296,0.681,0.783,0.709,0.738,0.276,0.251,0.381,0.13,0.38,0.289,0.238,0.35
Houston,4690977,Donovan Smith,Big 12,2.0,0.0,133,87.0,8.0,0.654,4.0,867.0,6.5,66.0,37.0,3.0,159.0,2.4,0.2891,0.4901,0.1421,0.2625,0.278,0.346,0.297,0.327,0.174,0.083,0.41,0.35,-0.165,0.195,0.286,-0.005
Illinois,4597679,Luke Altmyer,Big Ten,8.0,5.0,347,211.0,6.0,0.608,22.0,2717.0,7.8,99.0,37.0,4.0,217.0,2.2,0.5905,1.0442,0.1875,0.4840,0.627,0.758,0.528,0.801,0.428,0.465,0.247,0.12,0.511,0.778,0.351,0.536
Indiana,4430431,Kurtis Rourke,Big Ten,5.0,2.0,320,222.0,5.0,0.694,29.0,3042.0,9.5,46.0,12.0,2.0,-35.0,-0.8,0.4734,0.9710,0.0707,0.4173,0.471,0.634,0.397,0.615,0.669,0.73,-0.007,0.542,0.677,0.935,0.604,0.791
Iowa,4427455,Cade McNamara,Big Ten,2.0,2.0,172,104.0,5.0,0.605,6.0,1017.0,5.9,13.0,12.0,0.0,-31.0,-2.4,0.2527,0.6828,0.0125,0.1627,0.270,0.421,0.211,0.448,0.214,0.236,0.3,0.259,-0.025,0.411,0.233,0.191
Iowa State,4801299,Rocco Becht,Big 12,3.0,0.0,457,272.0,9.0,0.595,25.0,3505.0,7.7,98.0,32.0,8.0,318.0,3.2,0.5984,1.0206,0.1900,0.4419,0.638,0.864,0.556,0.862,0.476,0.43,0.715,0.313,0.242,0.842,0.423,0.543
Jacksonville State,4574356,Tyler Huff,Conference USA,2.0,1.0,293,178.0,7.0,0.608,14.0,2543.0,8.7,227.0,51.0,15.0,1344.0,5.9,0.5698,0.9784,0.3581,0.4541,0.619,0.764,0.526,0.778,0.576,0.546,0.618,0.44,0.583,0.732,0.588,0.555
James Madison,4911929,Alonza Barnett,Sun Belt,8.0,4.0,354,212.0,4.0,0.599,26.0,2596.0,7.3,135.0,50.0,7.0,450.0,3.3,0.5783,0.9976,0.2241,0.5296,0.533,0.739,0.500,0.701,0.391,0.355,0.527,0.239,0.384,0.734,0.234,0.665
Kansas,4596472,Jalon Daniels,Big 12,5.0,3.0,300,171.0,12.0,0.57,14.0,2454.0,8.2,93.0,33.0,6.0,447.0,4.8,0.5350,1.0164,0.2148,0.4971,0.528,0.646,0.442,0.674,0.522,0.512,0.555,0.297,0.46,0.983,0.526,0.515
Kansas State,4870857,Avery Johnson,Big 12,2.0,2.0,372,217.0,10.0,0.583,25.0,2712.0,7.3,113.0,33.0,7.0,605.0,5.4,0.6174,1.0437,0.2494,0.5646,0.589,0.740,0.614,0.694,0.516,0.487,0.62,0.43,0.321,0.599,0.497,0.556
Kennesaw State,5083103,Davis Bryson,Conference USA,5.0,0.0,261,143.0,10.0,0.548,6.0,1494.0,5.7,112.0,20.0,4.0,293.0,2.6,0.5116,0.8885,0.2453,0.4797,0.473,0.621,0.344,0.640,0.088,0.052,0.18,-0.109,0.103,0.372,-0.127,0.341
Kent State,5082965,Tommy Ulatowski,Mid-American,6.0,3.0,175,81.0,8.0,0.463,15.0,1342.0,7.7,62.0,34.0,1.0,-22.0,-0.4,0.3409,0.5864,0.1161,0.2896,0.371,0.391,0.275,0.425,0.508,0.605,0.04,0.33,0.462,0.819,0.296,0.738
Kentucky,4432782,Brock Vandagriff,SEC,7.0,2.0,218,125.0,8.0,0.573,10.0,1593.0,7.3,90.0,22.0,0.0,131.0,1.5,0.4328,0.7278,0.1872,0.3490,0.445,0.596,0.367,0.578,0.259,0.328,0.036,-0.016,0.389,0.397,0.288,0.219
LSU,4567747,Garrett Nussmeier,SEC,5.0,3.0,524,336.0,12.0,0.641,29.0,4039.0,7.7,36.0,14.0,3.0,-39.0,-1.1,0.6556,1.0385,0.0750,0.6118,0.599,0.823,0.626,0.738,0.482,0.467,0.778,0.388,0.293,0.862,0.425,0.585
Liberty,4432803,Kaidon Salter,Conference USA,10.0,5.0,261,147.0,6.0,0.563,15.0,1886.0,7.2,114.0,41.0,7.0,587.0,5.1,0.4896,0.9568,0.2175,0.4220,0.440,0.712,0.438,0.656,0.396,0.407,0.368,0.2,0.377,0.835,0.288,0.611
Louisiana,4373895,Ben Wooldridge,Sun Belt,1.0,0.0,291,192.0,6.0,0.66,17.0,2453.0,8.4,65.0,18.0,5.0,174.0,2.7,0.4218,0.7488,0.1217,0.3449,0.468,0.515,0.488,0.484,0.559,0.508,0.85,0.284,0.69,0.805,0.52,0.648
Louisiana Tech,5076949,Evan Bullock,Conference USA,7.0,3.0,302,199.0,3.0,0.659,14.0,2107.0,7.0,63.0,14.0,1.0,-126.0,-2.0,0.4304,0.7703,0.0868,0.3450,0.431,0.579,0.427,0.537,0.243,0.308,-0.343,0.132,-0.22,0.992,0.004,0.59
Louisville,4360689,Tyler Shough,ACC,1.0,1.0,389,244.0,6.0,0.627,23.0,3195.0,8.2,42.0,46.0,1.0,19.0,0.5,0.5333,0.9654,0.0743,0.4390,0.554,0.727,0.447,0.739,0.54,0.559,0.276,0.163,0.686,0.894,0.36,0.809
Marshall,4600403,Braylon Braxton,Sun Belt,2.0,2.0,206,124.0,2.0,0.602,19.0,1624.0,7.9,134.0,35.0,4.0,610.0,4.6,0.4353,0.6867,0.2632,0.3757,0.448,0.553,0.425,0.535,0.442,0.55,0.246,0.188,0.476,0.782,0.311,0.676
Maryland,4592532,Billy Edwards,Big Ten,2.0,2.0,420,273.0,9.0,0.65,15.0,2881.0,6.9,81.0,15.0,5.0,150.0,1.9,0.6028,0.8730,0.2012,0.5585,0.593,0.695,0.552,0.693,0.306,0.293,0.389,0.255,0.315,0.547,0.197,0.511
Massachusetts,4426430,Taisun Phommachanh,FBS Independents,4.0,1.0,234,132.0,6.0,0.564,8.0,1590.0,6.8,107.0,33.0,3.0,317.0,3.0,0.4194,0.7188,0.1897,0.3609,0.418,0.535,0.303,0.569,0.363,0.34,0.428,0.108,0.324,0.741,0.314,0.428
Memphis,4606194,Seth Henigan,American Athletic,2.0,0.0,477,309.0,6.0,0.648,25.0,3502.0,7.3,80.0,23.0,1.0,190.0,2.4,0.6315,1.0486,0.1479,0.5516,0.650,0.792,0.559,0.804,0.449,0.465,0.31,0.123,0.393,1.034,0.342,0.628
Miami,4688380,Cameron Ward,ACC,3.0,3.0,454,305.0,7.0,0.672,39.0,4313.0,9.5,60.0,24.0,4.0,204.0,3.4,0.5974,1.0000,0.1014,0.5345,0.615,0.750,0.498,0.809,0.722,0.69,1.108,0.456,0.817,1.152,0.549,1.039
Miami (OH),4427243,Brett Gabbert,Mid-American,2.0,0.0,379,217.0,11.0,0.573,21.0,2921.0,7.7,55.0,18.0,1.0,6.0,0.1,0.5637,0.9923,0.0792,0.5331,0.551,0.655,0.527,0.628,0.351,0.356,0.291,0.284,0.378,0.555,0.282,0.471
Michigan,4878681,Davis Warren,Big Ten,2.0,0.0,207,133.0,9.0,0.643,7.0,1198.0,5.8,17.0,13.0,0.0,-22.0,-1.3,0.2926,0.6875,0.0255,0.2312,0.267,0.452,0.217,0.430,0.256,0.268,0.029,-0.423,0.419,0.73,-0.059,0.618
Michigan State,5075805,Aidan Chiles,Big Ten,4.0,3.0,324,192.0,12.0,0.593,13.0,2415.0,7.5,96.0,26.0,3.0,234.0,2.4,0.5662,0.9074,0.2105,0.5413,0.487,0.727,0.443,0.683,0.38,0.404,0.269,0.276,0.271,0.599,0.335,0.452
Middle Tennessee,4682518,Nick Vattiato,Conference USA,5.0,4.0,418,269.0,10.0,0.644,16.0,3092.0,7.4,86.0,16.0,1.0,77.0,0.9,0.6933,1.0200,0.2074,0.6019,0.713,0.824,0.690,0.804,0.289,0.3,0.208,0.231,0.243,0.434,0.326,0.224
Minnesota,4573398,Max Brosmer,Big Ten,3.0,2.0,403,268.0,6.0,0.665,18.0,2829.0,7.0,71.0,28.0,5.0,-37.0,-0.5,0.6064,1.0070,0.1553,0.5923,0.549,0.726,0.528,0.686,0.388,0.392,0.36,0.16,0.414,0.64,0.332,0.499
Mississippi State,5079620,Michael Van Buren Jr.,SEC,7.0,5.0,256,140.0,7.0,0.547,11.0,1886.0,7.4,69.0,17.0,5.0,-12.0,-0.2,0.8706,1.4545,0.2789,0.8323,0.769,1.065,0.670,1.099,0.313,0.308,0.341,0.047,0.337,0.451,0.212,0.47
