team,playerid,name,conference,fumbles_fum,fumbles_lost,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns
Missouri,4429435,Brady Cook,SEC,3.0,1.0,320,200.0,2.0,0.625,11.0,2525.0,7.9,87.0,31.0,5.0,223.0,2.6,0.4566,0.8186,0.1487,0.4220,0.382,0.625,0.310,0.637,0.404,0.399,0.426,0.02,0.376,0.9,0.288,0.584
NC State,5079301,CJ Bailey,ACC,7.0,3.0,302,196.0,10.0,0.649,17.0,2412.0,8.0,99.0,31.0,5.0,279.0,2.8,1.0516,1.6269,0.4679,0.8811,1.117,1.320,1.024,1.348,0.491,0.529,0.355,0.27,0.42,0.759,0.372,0.705
Navy,5081504,Blake Horvath,American Athletic,6.0,3.0,139,80.0,4.0,0.576,13.0,1353.0,9.7,176.0,95.0,17.0,1254.0,7.1,0.4550,0.8677,0.3201,0.4080,0.448,0.576,0.443,0.549,0.72,0.681,0.756,0.504,0.837,0.877,0.688,0.781
Nebraska,5079572,Dylan Raiola,Big Ten,7.0,2.0,409,274.0,11.0,0.67,13.0,2806.0,6.9,50.0,38.0,0.0,-65.0,-1.3,1.0605,1.9352,0.1758,0.9381,1.072,1.333,0.800,1.453,0.26,0.276,0.171,0.185,0.377,0.38,0.156,0.431
Nevada,4429149,Brendon Lewis,Mountain West,2.0,1.0,312,211.0,7.0,0.676,16.0,2290.0,7.3,157.0,67.0,8.0,775.0,4.9,0.6010,0.9082,0.3249,0.5528,0.586,0.759,0.514,0.746,0.432,0.36,0.615,0.31,0.272,0.818,0.373,0.531
New Mexico,5105849,Devon Dampier,Mountain West,7.0,3.0,390,226.0,12.0,0.579,12.0,2768.0,7.1,156.0,85.0,19.0,1152.0,7.4,0.6987,1.0272,0.3965,0.5994,0.744,0.868,0.691,0.880,0.441,0.301,0.777,0.221,0.567,0.654,0.378,0.564
New Mexico State,5220783,Parker Awad,Conference USA,2.0,2.0,159,74.0,4.0,0.465,7.0,1079.0,6.8,60.0,25.0,1.0,109.0,1.8,0.5930,1.1419,0.2000,0.5000,0.539,0.819,0.425,0.835,0.241,0.224,0.309,0.282,0.031,0.537,0.126,0.384
North Carolina,4429463,Jacolby Criswell,ACC,5.0,4.0,320,186.0,6.0,0.581,15.0,2459.0,7.7,71.0,20.0,3.0,103.0,1.5,0.4655,0.8417,0.1312,0.3325,0.502,0.674,0.409,0.682,0.41,0.381,0.581,0.187,0.351,0.783,0.225,0.637
North Texas,4692530,Chandler Morris,American Athletic,2.0,1.0,509,322.0,12.0,0.633,31.0,3774.0,7.4,60.0,49.0,4.0,242.0,4.0,0.6217,0.9279,0.1532,0.5835,0.616,0.680,0.529,0.723,0.483,0.481,0.503,0.425,0.517,0.506,0.479,0.49
Northern Illinois,4618083,Ethan Hampton,Mid-American,5.0,3.0,245,143.0,6.0,0.584,12.0,1608.0,6.6,53.0,32.0,2.0,129.0,2.4,0.3190,0.6703,0.0784,0.2532,0.315,0.447,0.311,0.413,0.436,0.419,0.534,0.191,0.631,0.596,0.365,0.55
Northwestern,4911961,Jack Lausch,Big Ten,5.0,2.0,296,159.0,8.0,0.537,7.0,1714.0,5.8,87.0,29.0,2.0,213.0,2.4,0.5161,0.7653,0.2152,0.4623,0.517,0.614,0.477,0.617,0.123,0.073,0.343,0.001,0.168,0.343,-0.016,0.326
Notre Dame,4683423,Riley Leonard,FBS Independents,2.0,1.0,403,269.0,8.0,0.667,21.0,2861.0,7.1,184.0,50.0,17.0,906.0,4.9,0.6174,0.9475,0.3404,0.5169,0.653,0.797,0.698,0.709,0.47,0.381,0.678,0.246,0.433,0.744,0.406,0.602
Ohio,4610131,Parker Navarro,Mid-American,4.0,3.0,295,195.0,11.0,0.661,13.0,2423.0,8.2,160.0,55.0,18.0,1047.0,6.5,0.5347,0.9003,0.2943,0.5070,0.513,0.647,0.526,0.588,0.544,0.398,0.84,0.468,0.459,0.755,0.513,0.612
Ohio State,4429955,Will Howard,Big Ten,7.0,1.0,423,309.0,10.0,0.73,35.0,4010.0,9.5,105.0,19.0,7.0,226.0,2.2,0.5733,0.9872,0.1977,0.5022,0.545,0.766,0.595,0.685,0.691,0.755,0.468,0.502,0.724,0.762,0.636,0.809
Oklahoma,4870607,Jackson Arnold,SEC,9.0,5.0,246,154.0,3.0,0.626,12.0,1421.0,5.8,150.0,47.0,3.0,444.0,3.0,0.4694,0.7195,0.2548,0.4055,0.473,0.590,0.422,0.582,0.204,0.142,0.357,-0.06,0.173,0.504,0.127,0.322
Oklahoma State,4362159,Alan Bowman,Big 12,2.0,1.0,340,204.0,12.0,0.6,17.0,2442.0,7.2,24.0,12.0,0.0,-38.0,-1.6,0.4575,0.7709,0.0465,0.4017,0.467,0.553,0.342,0.612,0.481,0.51,-0.155,0.406,0.43,0.54,0.515,0.433
Old Dominion,5125715,Colton Joseph,Sun Belt,10.0,5.0,222,133.0,5.0,0.599,11.0,1623.0,7.3,114.0,39.0,11.0,647.0,5.7,0.4493,0.6886,0.2652,0.3886,0.485,0.523,0.401,0.561,0.483,0.465,0.522,0.338,0.361,0.818,0.372,0.644
Ole Miss,4689114,Jaxson Dart,SEC,2.0,0.0,398,276.0,6.0,0.693,29.0,4279.0,10.8,124.0,35.0,3.0,495.0,4.0,0.5963,0.9825,0.2208,0.5797,0.613,0.651,0.453,0.745,0.7,0.77,0.396,0.496,0.862,0.774,0.533,1.016
Oregon,4427238,Dillon Gabriel,Big Ten,3.0,2.0,447,326.0,6.0,0.729,30.0,3857.0,8.6,75.0,54.0,7.0,149.0,2.0,0.5732,1.0063,0.1432,0.4828,0.543,0.836,0.487,0.796,0.606,0.627,0.458,0.217,0.672,1.051,0.326,1.058
Oregon State,4887446,Gevani McCoy,Pac-12,2.0,0.0,202,123.0,6.0,0.609,3.0,1300.0,6.4,59.0,71.0,5.0,328.0,5.6,0.3198,0.5714,0.1062,0.2720,0.316,0.402,0.278,0.424,0.283,0.115,1.055,-0.01,0.093,0.771,0.242,0.355
Penn State,4714771,Drew Allar,Big Ten,3.0,2.0,394,262.0,8.0,0.665,24.0,3327.0,8.4,96.0,22.0,6.0,302.0,3.1,0.4962,0.9559,0.1448,0.4187,0.500,0.653,0.450,0.662,0.52,0.524,0.498,0.371,0.609,0.655,0.458,0.637
Pittsburgh,4870819,Eli Holstein,ACC,5.0,1.0,290,179.0,7.0,0.617,17.0,2225.0,7.7,81.0,49.0,3.0,328.0,4.0,0.4245,0.5974,0.1769,0.3850,0.468,0.446,0.393,0.510,0.43,0.426,0.447,0.152,0.575,0.578,0.26,0.71
Purdue,4429032,Hudson Card,Big Ten,1.0,0.0,248,144.0,7.0,0.581,9.0,1641.0,6.6,46.0,23.0,0.0,-27.0,-0.6,0.4301,0.7429,0.0820,0.3311,0.469,0.575,0.393,0.582,0.225,0.233,0.151,-0.03,0.215,0.519,-0.051,0.588
Rice,4916436,E.J. Warner,American Athletic,3.0,2.0,438,271.0,13.0,0.619,17.0,2710.0,6.2,29.0,11.0,1.0,12.0,0.4,0.6021,0.9137,0.0993,0.4939,0.657,0.707,0.586,0.740,0.21,0.254,-0.442,0.156,0.155,0.604,0.069,0.388
Rutgers,4432722,Athan Kaliakmanis,Big Ten,2.0,1.0,395,213.0,7.0,0.539,18.0,2696.0,6.8,92.0,20.0,3.0,251.0,2.7,0.5589,1.0443,0.1568,0.4812,0.558,0.698,0.434,0.779,0.313,0.336,0.243,0.117,0.327,0.633,0.222,0.451
SMU,5084084,Kevin Jennings,ACC,7.0,5.0,381,248.0,11.0,0.651,23.0,3189.0,8.4,101.0,59.0,5.0,354.0,3.5,0.5265,0.9154,0.1871,0.4562,0.502,0.736,0.360,0.726,0.539,0.604,0.26,0.298,0.477,1.031,0.309,0.827
Sam Houston,5220424,Hunter Watson,Conference USA,6.0,2.0,281,175.0,8.0,0.623,12.0,1811.0,6.4,168.0,46.0,9.0,647.0,3.9,1.0391,1.6570,0.5945,0.9364,0.935,1.420,0.966,1.232,0.332,0.313,0.373,0.069,0.334,0.68,0.295,0.401
San Diego State,5126474,Danny O'Neil,Mountain West,3.0,1.0,330,209.0,6.0,0.633,12.0,2181.0,6.6,74.0,34.0,1.0,89.0,1.2,1.0151,1.7432,0.2591,0.9184,0.976,1.246,0.833,1.225,0.223,0.248,0.045,-0.032,0.306,0.395,0.079,0.42
San José State,4694149,Walker Eget,Mountain West,5.0,3.0,328,188.0,10.0,0.573,13.0,2504.0,7.6,29.0,32.0,0.0,99.0,3.4,0.4258,0.6195,0.0943,0.4036,0.404,0.509,0.371,0.489,0.31,0.379,-0.46,0.151,0.321,0.628,0.133,0.637
South Alabama,4920227,Giovanni Lopez,Sun Belt,2.0,2.0,311,205.0,5.0,0.659,18.0,2557.0,8.2,82.0,50.0,7.0,465.0,5.7,0.4848,0.8223,0.1756,0.4344,0.498,0.593,0.398,0.640,0.557,0.487,0.863,0.355,0.611,0.848,0.412,0.793
South Carolina,4875127,Lanorris Sellers,SEC,10.0,6.0,300,197.0,7.0,0.657,18.0,2527.0,8.4,165.0,75.0,7.0,681.0,4.1,0.5649,0.9265,0.3096,0.5369,0.533,0.690,0.496,0.669,0.385,0.454,0.236,0.266,0.506,0.508,0.304,0.531
South Florida,4806463,Bryce Archie,American Athletic,3.0,1.0,290,172.0,10.0,0.593,9.0,1914.0,6.6,68.0,35.0,2.0,137.0,2.0,0.3976,0.6724,0.1196,0.3691,0.342,0.500,0.345,0.465,0.204,0.207,0.182,0.2,-0.249,0.577,0.302,0.045
Southern Miss,4433886,Tate Rodemaker,Sun Belt,4.0,2.0,165,98.0,7.0,0.594,7.0,985.0,6.0,26.0,11.0,0.0,-90.0,-3.5,0.2740,0.5142,0.0437,0.2152,0.323,0.336,0.206,0.369,0.061,0.136,-0.787,-0.407,0.483,0.148,-0.288,0.428
Stanford,4838679,Ashton Daniels,ACC,7.0,2.0,271,170.0,12.0,0.627,10.0,1700.0,6.3,148.0,67.0,3.0,669.0,4.5,0.4975,0.6443,0.3516,0.4597,0.526,0.565,0.426,0.592,0.204,0.138,0.325,-0.135,0.203,0.696,0.085,0.407
Syracuse,4433971,Kyle McCord,ACC,5.0,0.0,592,391.0,12.0,0.66,34.0,4779.0,8.1,67.0,29.0,3.0,-65.0,-1.0,0.6966,1.0339,0.1375,0.5826,0.711,0.932,0.663,0.879,0.512,0.512,0.513,0.34,0.511,0.76,0.478,0.569
TCU,4685401,Josh Hoover,Big 12,6.0,6.0,471,313.0,11.0,0.665,27.0,3949.0,8.4,47.0,12.0,4.0,-19.0,-0.4,0.6185,1.0286,0.1016,0.5901,0.560,0.782,0.489,0.756,0.56,0.59,0.178,0.394,0.557,0.692,0.543,0.59
Temple,4431387,Evan Simon,American Athletic,2.0,0.0,308,181.0,9.0,0.588,15.0,2032.0,6.6,87.0,16.0,3.0,20.0,0.2,0.4981,0.7471,0.1925,0.4321,0.467,0.636,0.470,0.586,0.314,0.357,0.104,0.051,0.048,0.782,0.23,0.423
Tennessee,4870799,Nico Iamaleava,SEC,9.0,4.0,334,213.0,5.0,0.638,19.0,2616.0,7.8,109.0,31.0,3.0,364.0,3.3,0.4854,0.9305,0.1634,0.4507,0.468,0.588,0.424,0.590,0.391,0.427,0.241,0.174,0.356,0.765,0.278,0.612
Texas,4889929,Quinn Ewers,SEC,6.0,5.0,445,293.0,12.0,0.658,31.0,3472.0,7.8,57.0,26.0,2.0,-82.0,-1.4,0.4722,0.8765,0.0547,0.4077,0.458,0.636,0.377,0.640,0.475,0.468,0.578,0.171,0.601,0.796,0.28,0.757
Texas A&M,4870971,Marcel Reed,SEC,5.0,2.0,240,147.0,6.0,0.613,15.0,1864.0,7.8,116.0,31.0,7.0,547.0,4.7,0.4129,0.6848,0.2124,0.3980,0.375,0.506,0.370,0.460,0.416,0.377,0.508,0.193,0.608,0.609,0.336,0.576
Texas State,4360890,Jordan McCloud,Sun Belt,4.0,2.0,389,272.0,13.0,0.699,30.0,3222.0,8.3,74.0,42.0,7.0,278.0,3.8,0.5153,0.9650,0.1364,0.5262,0.433,0.645,0.385,0.609,0.56,0.584,0.554,0.459,0.508,0.671,0.57,0.542
Texas Tech,4431465,Behren Morton,Big 12,3.0,2.0,463,293.0,8.0,0.633,27.0,3300.0,7.1,55.0,26.0,1.0,-22.0,-0.4,0.5355,0.9139,0.0796,0.4806,0.528,0.680,0.421,0.692,0.426,0.442,0.198,0.218,0.199,0.947,0.352,0.535
Toledo,4429801,Tucker Gleason,Mid-American,11.0,5.0,385,233.0,8.0,0.605,24.0,2793.0,7.3,97.0,35.0,7.0,364.0,3.8,0.5625,0.8618,0.2302,0.4533,0.615,0.696,0.573,0.701,0.469,0.51,0.296,0.319,0.393,0.658,0.499,0.422
Troy,4877717,Matthew Caldwell,Sun Belt,5.0,0.0,224,141.0,8.0,0.629,13.0,1608.0,7.2,48.0,15.0,5.0,47.0,1.0,0.3830,0.6952,0.1189,0.2997,0.390,0.513,0.437,0.462,0.459,0.488,0.314,0.033,0.514,0.841,0.424,0.523
Tulane,5121169,Darian Mensah,American Athletic,4.0,2.0,287,189.0,6.0,0.659,22.0,2723.0,9.5,60.0,22.0,1.0,132.0,2.2,0.4077,0.9260,0.0891,0.3474,0.390,0.564,0.319,0.553,0.667,0.702,0.445,0.303,0.906,0.873,0.55,0.843
Tulsa,5151618,Kirk Francis,American Athletic,4.0,3.0,253,149.0,6.0,0.589,9.0,1585.0,6.3,34.0,15.0,0.0,-18.0,-0.5,0.3238,0.5753,0.0651,0.2649,0.337,0.379,0.284,0.416,0.185,0.22,-0.139,0.483,-0.03,0.259,0.212,0.145
UAB,4565187,Jalen Kitna,American Athletic,7.0,4.0,316,196.0,11.0,0.62,17.0,2209.0,7.0,45.0,21.0,0.0,-60.0,-1.3,0.4627,0.7521,0.0968,0.4346,0.411,0.593,0.329,0.604,0.346,0.415,-0.346,0.185,0.288,0.64,0.206,0.565
UCF,4920156,Dylan Rizk,Big 12,3.0,2.0,118,73.0,2.0,0.619,5.0,915.0,7.8,29.0,33.0,0.0,43.0,1.5,0.1773,0.3735,0.0435,0.1514,0.164,0.245,0.118,0.279,0.261,0.331,-0.153,0.455,-0.016,0.048,0.328,0.161
UCLA,4429068,Ethan Garbers,Big Ten,7.0,5.0,363,235.0,11.0,0.647,16.0,2727.0,7.5,83.0,57.0,1.0,137.0,1.7,0.6390,0.9602,0.1922,0.5392,0.640,0.841,0.584,0.790,0.358,0.363,0.317,0.166,0.401,0.576,0.191,0.572
UConn,4429582,Joe Fagnano,FBS Independents,2.0,1.0,207,120.0,4.0,0.58,20.0,1631.0,7.9,30.0,19.0,1.0,60.0,2.0,0.2878,0.5668,0.0574,0.2835,0.269,0.315,0.267,0.321,0.554,0.619,0.019,0.368,0.455,0.901,0.396,0.898
UL Monroe,5122054,Aidan Armenta,Sun Belt,2.0,0.0,188,102.0,10.0,0.543,9.0,1294.0,6.9,47.0,43.0,1.0,57.0,1.2,0.3458,0.8000,0.0741,0.2921,0.289,0.539,0.243,0.475,0.295,0.295,0.293,0.059,0.291,0.56,0.304,0.284
UNLV,4571364,Hajj-Malik Williams,Mountain West,4.0,1.0,252,150.0,5.0,0.595,19.0,1941.0,7.7,161.0,71.0,9.0,851.0,5.3,0.4766,0.8772,0.2474,0.4244,0.474,0.594,0.431,0.607,0.458,0.39,0.594,0.39,0.278,0.798,0.445,0.48
USC,4431580,Miller Moss,Big Ten,3.0,2.0,362,233.0,9.0,0.644,18.0,2555.0,7.1,21.0,9.0,2.0,-18.0,-0.9,0.4521,0.7230,0.0474,0.3981,0.470,0.546,0.425,0.546,0.389,0.384,0.512,0.24,0.415,0.586,0.27,0.622
UTEP,5083042,Skyler Locklear,Conference USA,3.0,1.0,236,149.0,6.0,0.631,10.0,1591.0,6.7,80.0,18.0,2.0,237.0,3.0,0.4095,0.6606,0.1785,0.4006,0.347,0.528,0.328,0.478,0.296,0.291,0.316,0.262,0.162,0.541,0.227,0.406
UTSA,4775136,Owen McCown,American Athletic,3.0,2.0,467,294.0,10.0,0.63,25.0,3424.0,7.3,86.0,75.0,3.0,340.0,4.0,0.5800,0.9675,0.1447,0.4795,0.612,0.723,0.560,0.720,0.439,0.388,0.82,0.069,0.597,0.774,0.398,0.498
Utah,5079771,Isaac Wilson,Big 12,5.0,3.0,225,127.0,11.0,0.564,10.0,1510.0,6.7,59.0,48.0,0.0,47.0,0.8,0.7513,1.2800,0.2316,0.7160,0.661,0.847,0.554,0.922,0.187,0.272,-0.277,0.185,0.118,0.255,0.131,0.266
Utah State,4360480,Spencer Petras,Mountain West,2.0,1.0,327,214.0,11.0,0.654,17.0,2315.0,7.1,36.0,12.0,1.0,35.0,1.0,0.3978,0.6941,0.0649,0.3315,0.458,0.448,0.389,0.504,0.422,0.466,-0.117,0.26,0.285,0.671,0.374,0.512
Vanderbilt,5084180,Diego Pavia,SEC,5.0,2.0,298,177.0,4.0,0.594,20.0,2293.0,7.7,193.0,36.0,8.0,800.0,4.1,0.6710,1.0436,0.4067,0.5786,0.660,0.851,0.591,0.842,0.431,0.493,0.318,0.245,0.29,0.824,0.314,0.594
Virginia,5044387,Anthony Colandrea,ACC,5.0,2.0,320,198.0,11.0,0.619,13.0,2125.0,6.6,128.0,35.0,2.0,277.0,2.2,0.5578,0.8254,0.2558,0.5714,0.496,0.615,0.359,0.691,0.152,0.174,0.073,0.102,0.039,0.493,0.128,0.189
Virginia Tech,4678010,Kyron Drones,ACC,4.0,3.0,224,136.0,6.0,0.607,10.0,1562.0,7.0,98.0,53.0,6.0,337.0,3.4,0.4140,0.6741,0.2102,0.3677,0.376,0.557,0.435,0.471,0.371,0.39,0.324,0.305,0.088,0.799,0.333,0.434
Wake Forest,4426499,Hank Bachmeier,ACC,4.0,2.0,357,224.0,10.0,0.627,16.0,2593.0,7.3,96.0,20.0,1.0,141.0,1.5,0.5453,0.9161,0.1584,0.4447,0.579,0.680,0.493,0.718,0.318,0.335,0.215,0.157,0.132,0.654,0.366,0.242
Washington,102597,Will Rogers,Big Ten,5.0,2.0,311,220.0,7.0,0.707,14.0,2458.0,7.9,34.0,20.0,0.0,-79.0,-2.3,0.4155,0.7326,0.0472,0.3780,0.422,0.507,0.349,0.531,0.434,0.484,-0.472,0.425,0.582,0.381,0.34,0.624
Washington State,4915980,John Mateer,Pac-12,5.0,2.0,347,224.0,7.0,0.646,29.0,3139.0,9.0,178.0,68.0,15.0,826.0,4.6,0.6546,0.9496,0.3724,0.5509,0.742,0.768,0.634,0.859,0.618,0.586,0.721,0.483,0.714,0.671,0.598,0.653
West Virginia,4429847,Garrett Greene,Big 12,7.0,2.0,316,189.0,12.0,0.598,15.0,2300.0,7.3,133.0,56.0,6.0,751.0,5.6,0.5263,0.8804,0.2485,0.4922,0.503,0.627,0.407,0.647,0.436,0.391,0.562,0.204,0.337,0.936,0.316,0.627
Western Kentucky,4869991,Caden Veltkamp,Conference USA,10.0,6.0,389,258.0,10.0,0.663,25.0,3108.0,8.0,113.0,25.0,7.0,150.0,1.3,0.6013,0.8866,0.2710,0.4949,0.568,0.846,0.659,0.697,0.466,0.549,0.148,0.16,0.389,0.893,0.429,0.529
Western Michigan,4430775,Hayden Wolff,Mid-American,3.0,2.0,312,208.0,8.0,0.667,18.0,2410.0,7.7,39.0,16.0,0.0,-101.0,-2.6,0.4608,1.0000,0.0417,0.4080,0.417,0.627,0.324,0.676,0.432,0.481,-0.475,0.511,0.382,0.391,0.47,0.374
Wisconsin,4702829,Braedyn Locke,Big Ten,4.0,1.0,296,164.0,10.0,0.554,13.0,1936.0,6.5,22.0,11.0,2.0,4.0,0.2,0.4249,0.8387,0.0467,0.3440,0.442,0.571,0.316,0.649,0.347,0.35,0.299,0.317,0.462,0.137,0.408,0.269
Wyoming,5082633,Evan Svoboda,Mountain West,6.0,3.0,226,111.0,8.0,0.491,5.0,1308.0,5.8,109.0,51.0,5.0,237.0,2.2,0.4228,0.6749,0.2052,0.3713,0.344,0.601,0.385,0.502,0.132,0.036,0.405,-0.128,0.062,0.363,0.11,0.167
